"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"a3a575","JBU671  ","United States","1586513879","1586513879","-73.1575","40.6321","1684.02","FALSE","123.3","237.44","-4.23",NA,"1440.18","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586513871","1586513871","-90.9226","35.1344","8534.4","FALSE","183.79","255.57","0",NA,"8686.8","2155","FALSE","0"
"3945e8","XK151RN ","France","1586513879","1586513879","5.2272","43.2964","2948.94","FALSE","87.2","117.02","11.38",NA,"3093.72","4761","FALSE","0"
"a46e40","","United States",NA,"1586513875",NA,NA,"731.52","FALSE","84.25","208.44","7.8",NA,"632.46",NA,"FALSE","0"
"3c406e","LEOS08  ","Germany","1586513879","1586513879","8.5963","50.0454",NA,"TRUE","3.34","357.19",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586513879","1586513879","-122.2394","37.7167","335.28","FALSE","85.59","287.13","21.13",NA,"342.9","4201","FALSE","0"
"ad4302","N9536M  ","United States","1586513793","1586513800","-78.1235","37.4924","2514.6","FALSE","87.36","198.54","0",NA,"2339.34","5366","FALSE","0"
"aaef89","AAL2244 ","United States","1586513879","1586513879","-80.8521","25.9227","4038.6","FALSE","204.71","95.62","-13.66",NA,"4236.72","1067","FALSE","0"
"3c4003","","Germany","1586513779","1586513779","13.4948","52.3599",NA,"TRUE","6.17","67.5",NA,NA,NA,NA,"FALSE","0"
"3d36f5","DETBH   ","Germany","1586513879","1586513879","7.0621","50.7759","274.32","FALSE","56.19","319.46","-0.98",NA,"434.34","7042","FALSE","0"
"e49437","AD6006  ","Brazil","1586513879","1586513879","-45.5111","-21.6606","9928.86","FALSE","246.44","37.71","1.63",NA,NA,"5007","FALSE","0"
"47885f","BNOR    ","Norway","1586513879","1586513879","14.2379","66.4672","4556.76","FALSE","90.94","24.39","8.45",NA,"4351.02","0263","FALSE","0"
"adda24","AAL2266 ","United States","1586513879","1586513879","-98.195","31.0963","5158.74","FALSE","189.89","8.57","0",NA,"5334","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586513877","1586513879","51.7724","27.7482","8008.62","FALSE","202.53","173.29","-7.15",NA,"8389.62","5171","FALSE","0"
"8686b2","JAL4122 ","Japan","1586513838","1586513878","140.0888","35.4951","1790.7","FALSE","146.63","133.72","0.33",NA,"1790.7","0445","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586513874","1586513878","5.3096","52.6797","304.8","FALSE","70.99","-90.83","-1",NA,"471","7000","FALSE","3"
"3c5ee5","        ","Germany","1586513874","1586513879","6.7639","51.2811","-68.58","TRUE","3.6","126.56",NA,NA,NA,"1000","FALSE","0"
"3c65c8","DLH8XC  ","Germany","1586513879","1586513879","8.3691","49.9929","685.8","FALSE","87.61","69.01","-4.55",NA,"838.2","1000","FALSE","0"
"3c5ee4","EWG9824 ","Germany","1586513879","1586513879","8.8004","45.3904","1028.7","FALSE","117.79","319.07","-5.2",NA,"1127.76","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586513880","1586513880","10.508","50.4479","11887.2","FALSE","238.98","108.71","0",NA,"12039.6","1000","FALSE","0"
"e80241","LCO1105 ","Chile","1586513879","1586513879","-58.9672","-34.6716","2080.26","FALSE","140.98","147.06","-6.83",NA,"2194.56","3754","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586513817","1586513830","16.0582","45.7334","22.86","TRUE","10.8","227.81",NA,NA,NA,"2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586513879","1586513879","6.4232","51.0073","929.64","FALSE","50.29","329.24","0.98",NA,"1066.8","7000","FALSE","0"
"4b059b","","Switzerland","1586512938","1586513867","7.282","46.8342","1371.6","FALSE","59.56","55.53","0",NA,NA,"7000","FALSE","3"
"a6b5e7","ATN592  ","United States","1586513826","1586513877","-83.3114","42.3692","647.7","FALSE","109.06","165.24","-4.88",NA,"586.74","6767","FALSE","0"
"3d3806","DETLU   ","Germany","1586513879","1586513879","8.712","49.9598","365.76","FALSE","50.93","90.58","-0.33",NA,"480.06","7000","FALSE","0"
"a8452f","PDT4866 ","United States","1586513879","1586513879","-77.7766","38.0327","4869.18","FALSE","239.44","76.2","7.8",NA,"4617.72","2101","FALSE","0"
"ac491d","DAL867  ","United States","1586513879","1586513879","-80.2483","35.6045","5394.96","FALSE","157.54","247.54","12.03",NA,"5326.38","5220","FALSE","0"
"a94b29","UAL2372 ","United States","1586513880","1586513880","-78.775","38.6803","4754.88","FALSE","219.13","80.4","-10.08",NA,"4472.94","2573","FALSE","0"
"861f00","JAL2088 ","Japan","1586513813","1586513848","133.3204","32.6074","10622.28","FALSE","256.75","58.6","-2.6",NA,"10728.96","7332","FALSE","0"
"a85887","JBU493  ","United States","1586513879","1586513879","-71.1249","42.4586","2613.66","FALSE","126.2","337.72","21.46",NA,"2278.38","3526","FALSE","0"
"4248db","SBI1073 ","United Kingdom","1586513879","1586513880","46.5303","54.8322","11887.2","FALSE","241.58","117.11","-0.33",NA,"11605.26","2743","FALSE","0"
"73306e","KIS7054 ","Islamic Republic of Iran","1586513876","1586513876","53.2142","27.2802","7261.86","FALSE","218.43","344.43","-0.33",NA,NA,"4150","FALSE","0"
"4a09ac","BLA9103 ","Romania","1586513879","1586513879","1.0848","41.1864","11887.2","FALSE","219.47","260.69","0.33",NA,"12039.6","3242","FALSE","0"
"861e9a","JAL331  ","Japan","1586513879","1586513879","138.781","35.4484","11132.82","FALSE","189.66","264.55","4.55",NA,"11018.52","5212","FALSE","0"
"aaa752","BVN8515 ","United States","1586513879","1586513879","-84.4435","33.6224","777.24","FALSE","65.07","184.99","6.18",NA,"731.52","5157","FALSE","0"
"45c089","OYPDI   ","Denmark","1586513879","1586513880","9.3322","55.451","586.74","FALSE","56.13","160.73","1.95",NA,"716.28","5664","FALSE","0"
"a38a21","UPS1348 ","United States","1586513878","1586513879","-82.2271","26.7487","3162.3","FALSE","177.33","130.53","-10.73",NA,"3368.04","6627","FALSE","0"
"3c5efa","EWG6700 ","Germany","1586513879","1586513879","17.7224","46.5689","11894.82","FALSE","237.57","126.55","0",NA,"12009.12","6435","FALSE","0"
"471f8f","WZZ5    ","Hungary","1586513879","1586513879","19.5299","45.4608","11277.6","FALSE","241.63","133.45","0",NA,"11430","6432","FALSE","0"
"86cec5","SNJ27   ","Japan","1586513876","1586513879","135.5298","33.6226","11582.4","FALSE","199.59","230.65","0",NA,NA,"2360","FALSE","0"
"3d1229","DEFCZ   ","Germany","1586513879","1586513879","7.1394","50.7339","213.36","FALSE","47.47","4.35","-2.28",NA,"388.62","7000","FALSE","0"
"3d2550","DEMJO   ","Germany","1586513678","1586513686","6.7812","49.8629","114.3","TRUE","0.06","219.38",NA,NA,NA,"7000","FALSE","0"
"84cb66","SFJ28   ","Japan","1586513851","1586513862","139.8248","35.4813","358.14","FALSE","53.92","330.26","-2.93",NA,"388.62","7376","FALSE","0"
"86cee7","SNJ79   ","Japan","1586513879","1586513879","132.7532","32.5325","12192","FALSE","180.62","242.71","0",NA,"12344.4","7341","FALSE","0"
"471f91","WZZ6373 ","Hungary","1586513879","1586513880","22.986","47.4855","10972.8","FALSE","201.34","321.43","0",NA,"11026.14","5404","FALSE","0"
