"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586515011","1586515011","13.5223","52.3876",NA,"TRUE","2.06","326.25",NA,NA,NA,NA,"FALSE","0"
"a1fb3e","KFS2711 ","United States","1586515136","1586515136","-93.3983","34.5627","8564.88","FALSE","188.61","254.33","0",NA,"8740.14","1563","FALSE","0"
"3945e8","XK151RN ","France","1586515140","1586515140","6.9105","42.596","5181.6","FALSE","136.24","120.15","0",NA,"5326.38","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586515139","1586515139","-84.6397","39.9009","11574.78","FALSE","231.52","199.2","0",NA,"11369.04","4140","FALSE","0"
"a0e249","UPS966  ","United States","1586515138","1586515138","-121.2847","38.5614","-15.24","FALSE","66.57","233.48","-3.58",NA,"7.62","1724","FALSE","0"
"ad4302","N9536M  ","United States","1586515125","1586515133","-78.5133","36.5528","2506.98","FALSE","79.71","198.43","0.65",NA,"2362.2","4746","FALSE","0"
"3d36f5","DETBH   ","Germany","1586515139","1586515139","7.6151","51.1931","1005.84","FALSE","51.66","45.81","-1.63",NA,"1173.48","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586515139","1586515139","-43.6981","-19.453","10058.4","FALSE","242.02","37.75","0",NA,NA,"2507","FALSE","0"
"abad94","SWA1066 ","United States","1586515139","1586515139","-81.8601","26.5689","2644.14","FALSE","146.24","14.67","25.36",NA,"2712.72","7450","FALSE","0"
"47885f","BNOR    ","Norway","1586515009","1586515010","15.6308","67.6324","6400.8","FALSE","136.91","25.6","0",NA,"6004.56","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586515114","1586515114","-22.4441","63.7354","792.48","FALSE","130.97","314.05","-8.45",NA,"1249.68","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586515140","1586515140","-97.0669","32.6328","1028.7","FALSE","85.8","20.72","-2.6",NA,"1059.18","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586515139","1586515139","51.6327","25.8035","2865.12","FALSE","119.13","201.8","-5.85",NA,"3002.28","5171","FALSE","0"
"3c65ae","DLH357  ","Germany","1586515139","1586515139","100.5601","13.5616","1950.72","FALSE","144.47","307.77","11.38",NA,"1996.44","0706","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586515138","1586515139","5.0706","52.6731","335.28","FALSE","71.5","-90.02","0",NA,"470","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586515139","1586515139","8.7521","50.7811","10119.36","FALSE","239.04","107.15","8.78",NA,"10271.76","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586515139","1586515139","14.4383","49.5107","11887.2","FALSE","239.88","111.78","0",NA,"12016.74","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586515139","1586515139","13.6837","47.0167","11582.4","FALSE","225.37","308.05","0",NA,"11757.66","2263","FALSE","0"
"3d3806","DETLU   ","Germany","1586515140","1586515140","8.3821","50.2375","929.64","FALSE","52.17","282.53","-0.33",NA,"1059.18","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586515140","1586515140","-75.4542","39.4227","3169.92","FALSE","161.09","70.41","0.33",NA,"2918.46","2101","FALSE","0"
"ac491d","DAL867  ","United States","1586515140","1586515140","-82.4175","34.9666","8534.4","FALSE","170.75","240.19","-0.33",NA,"8602.98","5220","FALSE","0"
"a94b29","UAL2372 ","United States","1586514981","1586514990","-77.449","38.945",NA,"TRUE","0.06","0",NA,NA,NA,"3335","FALSE","0"
"861f00","JAL2088 ","Japan","1586515139","1586515139","135.2481","34.2253","3528.06","FALSE","153.13","32.52","-7.15",NA,"3535.68","7332","FALSE","0"
"a785fd","JIA5108 ","United States","1586515139","1586515139","-84.4962","32.5393","11582.4","FALSE","174.99","271.68","0.65",NA,"11925.3","2655","FALSE","0"
"a85887","JBU493  ","United States","1586515139","1586515139","-73.9364","43.2873","10972.8","FALSE","218.33","287.84","0",NA,"10492.74","3526","FALSE","0"
"ae61fd","TORQE31 ","United States","1586515139","1586515139","51.3932","24.9667","1981.2","FALSE","96.18","152.61","10.73",NA,"2034.54","3231","FALSE","0"
"4248db","SBI1073 ","United Kingdom","1586515139","1586515139","49.7776","53.6974","1440.18","FALSE","143.31","86.3","-7.48",NA,"1455.42","2743","FALSE","0"
"7c7cc5","HM4     ","Australia","1586515140","1586515140","143.8735","-38.1072","1859.28","FALSE","56.75","261.14","0.33",NA,"1851.66","0044","FALSE","0"
"4a09ac","BLA9103 ","Romania","1586515139","1586515139","-1.9555","40.5778","5821.68","FALSE","186.44","251.17","-8.13",NA,"5974.08","3242","FALSE","0"
"48469c","KV4     ","Kingdom of the Netherlands","1586515135","1586515135","4.7425","52.3353",NA,"TRUE","8.75","292.5",NA,NA,NA,NA,"FALSE","0"
"aaa752","BVN8515 ","United States","1586514982","1586514982","-84.7386","32.9289","1699.26","FALSE","81.71","204.95","-3.58",NA,"1668.78","5157","FALSE","0"
"45c089","OYPDI   ","Denmark","1586515139","1586515139","9.4262","55.5831","807.72","FALSE","50.46","16.59","-0.65",NA,"922.02","5664","FALSE","0"
"3d1276","DEFFY   ","Germany","1586515139","1586515139","8.6698","48.0362","1402.08","FALSE","43.6","70.71","0.33",NA,"1554.48",NA,"FALSE","0"
"a57acf","N452P   ","United States","1586514872","1586514873","-94.5555","39.0073","281.94","FALSE","7.31","309.29","-1.95",NA,"335.28","4317","FALSE","0"
"a38a21","UPS1348 ","United States","1586515057","1586515085","-81.7034","26.5697","251.46","FALSE","60.4","234.01","-3.25",NA,"259.08","6627","TRUE","0"
"344496","IBS3943 ","Spain","1586515125","1586515125","-15.4235","29.2668","9136.38","FALSE","249.15","51.88","7.15",NA,"9517.38","4445","FALSE","0"
"3c5efa","EWG6700 ","Germany","1586515139","1586515139","20.7663","44.922","11894.82","FALSE","238.22","128.78","0",NA,"12001.5","6435","FALSE","0"
"471f8f","WZZ5    ","Hungary","1586515108","1586515116","22.1965","43.594","6979.92","FALSE","240.81","135.17","-20.81",NA,"7307.58","6432","FALSE","0"
"86cec5","SNJ27   ","Japan","1586515138","1586515138","133.2498","32.6864","10972.8","FALSE","168.91","244.76","0.33",NA,"11094.72","0431","FALSE","0"
"3d2550","DEMJO   ","Germany","1586515139","1586515139","7.2201","49.939","906.78","FALSE","70.88","74.85","0.33",NA,"1059.18","7000","FALSE","0"
"86d5e5","APJ218  ","Japan","1586515000","1586515000","133.2402","32.9452","8839.2","FALSE","235.94","47.47","0.98",NA,"8961.12","7352","FALSE","0"
"4248e8","SDM6461 ","United Kingdom","1586515139","1586515139","33.8695","59.9423","10668","FALSE","234.77","87.74","0",NA,"10187.94","0747","FALSE","0"
"abad6c","SWA2718 ","United States","1586515139","1586515139","-86.456","33.3968","12192","FALSE","166.17","262.17","-0.33",NA,"12435.84","2512","FALSE","0"
"471f91","WZZ6373 ","Hungary","1586515139","1586515139","21.4322","49.4797","10980.42","FALSE","200.82","338.83","0",NA,"11018.52","1731","FALSE","0"
"505ea3","OMLUC   ","Slovakia","1586515101","1586515102","17.2874","48.0905","342.9","FALSE","66.79","168","-0.98",NA,"464.82","6744","FALSE","0"
"7809a5","CCA840  ","China","1586515139","1586515139","7.6107","43.7183","10972.8","FALSE","235.32","48.01","0",NA,"11163.3","0460","FALSE","0"
"aae270","MTN8327 ","United States","1586515139","1586515139","-83.9432","39.7949","3063.24","FALSE","119.38","271.23","0",NA,"2880.36","4221","FALSE","0"
"a03ce6","AAL439  ","United States","1586515139","1586515139","-82.088","39.7267","9456.42","FALSE","204.81","174.09","-0.33",NA,"9105.9","3144","FALSE","0"
"ac82f8","AAL1088 ","United States","1586515138","1586515139","-78.8328","35.7112","2301.24","FALSE","150.71","154.31","18.53",NA,"2171.7","3631","FALSE","0"
"a8f75b","SKQ66   ","United States","1586515139","1586515139","-82.409","35.9305","4953","FALSE","89.33","265.04","0",NA,"4869.18","5153","FALSE","0"
"4400d0","TYW431  ","Austria","1586515139","1586515139","-14.9518","28.7156","12473.94","FALSE","208.9","232","-3.58",NA,"13022.58","1027","FALSE","0"
"a3a61b","TPA4006 ","United States","1586515139","1586515139","-73.8352","5.6426","6758.94","FALSE","219.54","10.94","5.53",NA,"7208.52","2275","FALSE","0"
"7809fb","CSN3618 ","China","1586515139","1586515139","113.7492","22.7194","388.62","FALSE","69.03","152.48","-3.9",NA,"853.44","0666","FALSE","0"
"a64160","FTD502  ","United States","1586515139","1586515139","-97.3314","30.8295","3619.5","FALSE","162.1","178.55","-8.13",NA,"3726.18","6276","FALSE","0"
"a4bf70","KII837  ","United States","1586515139","1586515139","-86.1858","38.5233","9753.6","FALSE","179.31","256.56","0",NA,"9555.48","6601","FALSE","0"
"4ba285","TCHTE   ","Turkey","1586515140","1586515140","32.6094","40.0649","1135.38","FALSE","42.19","89.3","1.63",NA,"1173.48","4302","FALSE","0"
"a45c48","N380LD  ","United States","1586515139","1586515140","4.9544","52.2064","175.26","FALSE","78.58","219.42","-1.63",NA,"342.9","7000","FALSE","0"
"a40cd9","FFT428  ","United States","1586515048","1586515048","-81.6367","30.5852","8221.98","FALSE","195.34","351.98","0",NA,"8503.92","1065","FALSE","0"
"a4bf95","DAL196  ","United States","1586515134","1586515137","127.9998","37.586","6736.08","FALSE","256.37","78.89","5.2",NA,"6728.46","4333","FALSE","0"
"800407","SEJ7104 ","India","1586515139","1586515139","87.2502","21.1095","11734.8","FALSE","275.74","45.45","-4.88",NA,"12275.82","1000","FALSE","0"
"c2b37d","CFC4165 ","Canada","1586515139","1586515140","15.4221","50.0495","10668","FALSE","252.11","119.86","0",NA,"10805.16","1143","FALSE","0"
"a7e9e4","NKS565  ","United States","1586515137","1586515138","-83.5272","41.8155","4846.32","FALSE","193.67","202.82","13",NA,"4572","4134","FALSE","0"
"c035d4","JZA781  ","Canada","1586515125","1586515125","-73.7474","45.4597",NA,"TRUE","6.17","292.5",NA,NA,NA,"3647","FALSE","0"
"a546c9","RPA4695 ","United States","1586515137","1586515137","-94.7259","39.2929",NA,"TRUE","7.2","275.62",NA,NA,NA,"1753","FALSE","0"
"a76192","AMF1326 ","United States","1586515139","1586515139","-81.5629","39.8395","6408.42","FALSE","136.74","69.52","0",NA,"6096","3626","FALSE","0"
"4ba28d","TCHTM   ","Turkey","1586515030","1586515137","32.5971","40.1018","1584.96","FALSE","41.43","28.16","2.6",NA,"1211.58","4303","FALSE","0"
"867592","ANA38   ","Japan","1586515140","1586515140","139.5495","34.9771","2735.58","FALSE","151.38","56.36","-9.1",NA,"2735.58","0442","FALSE","0"
