"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586514779","1586514779","13.527","52.3827",NA,"TRUE","2.31","337.5",NA,NA,NA,NA,"FALSE","0"
"a3a575","JBU671  ","United States","1586514510","1586514510","-73.7194","40.6256","411.48","FALSE","47.29","300.75","-2.6",NA,"220.98","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586514779","1586514779","-92.694","34.7306","8564.88","FALSE","187.69","253.6","0",NA,"8732.52","0067","FALSE","0"
"3945e8","XK151RN ","France","1586514736","1586514737","6.3249","42.846","5181.6","FALSE","136.87","119.74","0",NA,"5326.38","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586514779","1586514779","-84.2946","40.6025","11056.62","FALSE","232.29","204.46","9.75",NA,"10774.68","4140","FALSE","0"
"3c406e","LEOS08  ","Germany","1586514777","1586514777","8.5568","50.0439",NA,"TRUE","8.23","255.94",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586514779","1586514779","-121.2413","38.4767","1165.86","FALSE","133.34","48.13","-8.13",NA,"1181.1","4201","FALSE","0"
"aaef89","AAL2244 ","United States","1586514537","1586514562","-80.1824","25.8056","480.06","FALSE","75.2","267.26","-3.9",NA,"457.2","1067","FALSE","0"
"3c4003","","Germany","1586514613","1586514613","13.48","52.3599",NA,"TRUE","9.77","337.5",NA,NA,NA,NA,"FALSE","0"
"3d36f5","DETBH   ","Germany","1586514779","1586514779","7.4335","51.0926","548.64","FALSE","48.29","51.05","0",NA,"701.04","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586514779","1586514779","-44.2109","-20.0785","10058.4","FALSE","244.91","37.83","0",NA,NA,"2507","FALSE","0"
"47885f","BNOR    ","Norway","1586514780","1586514780","15.3118","67.3764","6400.8","FALSE","137.15","25.32","0",NA,"6012.18","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586514769","1586514769","-21.7237","63.4206","4511.04","FALSE","183.34","315","-15.28",NA,"4549.14","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586514779","1586514779","-97.4263","32.4207","3040.38","FALSE","153.67","56.47","-3.25",NA,"3124.2","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586514779","1586514779","51.8068","26.246","5356.86","FALSE","164.86","191.52","-5.2",NA,"5631.18","5171","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586514777","1586514779","5.1897","52.6765","304.8","FALSE","63.01","89.11","-1",NA,"468","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586514780","1586514780","7.6295","51.0038","6477","FALSE","213.39","127.06","12.68",NA,"6644.64","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586514780","1586514780","13.3295","49.7922","11894.82","FALSE","239.52","110.89","0",NA,"12031.98","5574","FALSE","0"
