"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"a3a575","JBU671  ","United States","1586514510","1586514510","-73.7194","40.6256","411.48","FALSE","47.29","300.75","-2.6",NA,"220.98","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586514654","1586514654","-92.4476","34.7884","8564.88","FALSE","188.11","254.29","-0.33",NA,"8724.9","0067","FALSE","0"
"3945e8","XK151RN ","France","1586514612","1586514612","6.1444","42.9213","5181.6","FALSE","135.02","119.69","0",NA,"5334","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586514659","1586514659","-84.1575","40.831","9906","FALSE","236.94","204.23","13.98",NA,"9563.1","4140","FALSE","0"
"3c406e","LEOS08  ","Germany","1586514659","1586514659","8.5661","50.0446",NA,"TRUE","8.23","247.5",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586514659","1586514659","-121.3865","38.3828","2125.98","FALSE","137.19","54.46","-8.78",NA,"2148.84","4201","FALSE","0"
"aaef89","AAL2244 ","United States","1586514537","1586514562","-80.1824","25.8056","480.06","FALSE","75.2","267.26","-3.9",NA,"457.2","1067","FALSE","0"
"3c4003","","Germany","1586514613","1586514613","13.48","52.3599",NA,"TRUE","9.77","337.5",NA,NA,NA,NA,"FALSE","0"
"3d36f5","DETBH   ","Germany","1586514659","1586514659","7.3669","51.0581","457.2","FALSE","54.74","49.57","-2.93",NA,"609.6","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586514659","1586514659","-44.3834","-20.2878","10058.4","FALSE","244.19","37.81","0",NA,NA,"5007","FALSE","0"
"47885f","BNOR    ","Norway","1586514659","1586514659","15.1491","67.2435","6400.8","FALSE","134.63","25.1","0",NA,"6012.18","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586514656","1586514656","-21.4204","63.2761","6057.9","FALSE","216.78","319.62","-20.81",NA,"10469.88","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586514660","1586514660","-97.5913","32.3265","3566.16","FALSE","155.38","56.2","-4.23",NA,"3672.84","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586514659","1586514659","51.8494","26.4316","5989.32","FALSE","184.43","191.75","-5.2",NA,"6294.12","5171","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586514654","1586514659","5.0759","52.6762","304.8","FALSE","62.12","90.94","0",NA,"467","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586514659","1586514659","7.3522","51.138","4732.02","FALSE","194.88","127.38","18.86",NA,"4853.94","1000","FALSE","0"
