"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4045","B446    ","Germany","1586513758","1586513758","13.5193","52.3719",NA,"TRUE","5.14","258.75",NA,NA,NA,NA,"FALSE","0"
"a3a575","JBU671  ","United States","1586513760","1586513760","-73.01","40.7091","2773.68","FALSE","137.79","215.89","-10.08",NA,"2484.12","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586513759","1586513759","-90.7056","35.1819","8534.4","FALSE","182.17","255.61","0",NA,"8679.18","2155","FALSE","0"
"3945e8","XK151RN ","France","1586513758","1586513759","5.137","43.3753","1943.1","FALSE","101.41","169.77","6.83",NA,"2087.88","4761","FALSE","0"
"3c406e","LEOS08  ","Germany","1586513757","1586513757","8.5935","50.0389",NA,"TRUE","6.94","56.25",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586513758","1586513758","-122.2174","37.7061",NA,"TRUE","11.83","129.38",NA,NA,NA,NA,"FALSE","0"
"ad4302","N9536M  ","United States","1586513757","1586513757","-78.1122","37.5195","2514.6","FALSE","85.57","198.22","0",NA,"2339.34","5366","FALSE","0"
"aaef89","AAL2244 ","United States","1586513759","1586513759","-81.0939","25.9599","5212.08","FALSE","217.3","120.75","-5.85",NA,"5478.78","1067","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586513549","1586513553","-11.4781","35.9191","9936.48","FALSE","241.88","208.04","3.58",NA,"10218.42","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586513759","1586513759","7.1267","50.7678","213.36","FALSE","45.81","237.38","3.25",NA,"365.76","7000","FALSE","0"
"e49437","AD6006  ","Brazil","1586513759","1586513759","-45.6837","-21.8697","9563.1","FALSE","238.82","37.56","2.93",NA,NA,"5007","FALSE","0"
"adda24","AAL2266 ","United States","1586513758","1586513758","-98.2301","30.8964","5158.74","FALSE","175.85","8.58","0",NA,"5341.62","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586513756","1586513758","51.7421","27.9789","8770.62","FALSE","220.78","173.04","-5.2",NA,"9174.48","5171","FALSE","0"
"3455d5","IBE2824 ","Spain","1586513562","1586513666","85.597","52.4056","11582.4","FALSE","229.18","295.53","0",NA,"11430",NA,"FALSE","0"
"8686b2","JAL4122 ","Japan","1586513759","1586513760","139.9706","35.5217","1653.54","FALSE","139.63","103.42","8.13",NA,"1653.54","0445","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586513756","1586513758","5.3414","52.6837","335.28","FALSE","60.56","76.87","-1",NA,"481","7000","FALSE","3"
"3c65c8","DLH8XC  ","Germany","1586513760","1586513760","8.2215","49.9548","1303.02","FALSE","100.06","58.03","-4.55",NA,"1463.04","1000","FALSE","0"
"3c5ee4","EWG9824 ","Germany","1586513759","1586513759","8.9371","45.3972","1790.7","FALSE","137.32","173.11","-14.31",NA,"1897.38","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586513759","1586513759","10.1243","50.5305","11887.2","FALSE","238.17","108.51","0",NA,"12039.6","1000","FALSE","0"
"e80241","LCO1105 ","Chile","1586513759","1586513759","-59.0684","-34.5427","2887.98","FALSE","142.49","148.43","-6.83",NA,"3025.14","3754","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586513753","1586513759","16.0663","45.7387","22.86","TRUE","14.4","227.81",NA,NA,NA,"2263","FALSE","0"
