"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586516799","1586516799","13.5201","52.3848",NA,"TRUE","1.54","126.56",NA,NA,NA,NA,"FALSE","0"
"842194","ADO74   ","Japan","1586516819","1586516819","139.8507","35.4754","426.72","FALSE","71.91","329.95","-2.6",NA,"472.44","0405","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586516477","1586516735","-95.9412","33.9123","2621.28","FALSE","123.83","252.84","0.65",NA,"2606.04","6131","FALSE","0"
"3945e8","XK151RN ","France","1586516662","1586516662","8.9133","41.4905","777.24","FALSE","111.16","106.67","-3.25",NA,"899.16","4761","FALSE","0"
"a4b228","UPS992  ","United States","1586516818","1586516818","-115.1134","47.3433","9753.6","FALSE","221.43","287.72","0",NA,"9845.04",NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586516814","1586516818","-86.0276","36.6649","11902.44","FALSE","225.48","198.35","0.33",NA,"11932.92","3117","FALSE","0"
"adeca5","AAL668  ","United States","1586516820","1586516820","-83.1291","28.8154","11109.96","FALSE","195.88","289.01","3.25",NA,"11551.92","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586516819","1586516819","-76.4204","36.9068","4648.2","FALSE","158.67","250.1","18.21",NA,"3550.92","6045","FALSE","0"
"e49450","TAM4566 ","Brazil","1586516820","1586516820","-46.3662","-23.4882","3444.24","FALSE","146.12","263.13","11.38",NA,"3573.78",NA,"FALSE","0"
"ad9cc0","N9763R  ","United States","1586516678","1586516694","-97.8063","33.1383","541.02","FALSE","82.49","252.58","-4.55",NA,"609.6","1200","FALSE","0"
"ac83d5","EDV4900 ","United States","1586516819","1586516819","-74.5708","40.7556","7543.8","FALSE","175.04","240.8","13",NA,"7094.22","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586516819","1586516819","-14.8147","29.6968","11582.4","FALSE","229.32","196.69","0",NA,"12100.56","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586516820","1586516820","8.3978","51.8415","426.72","FALSE","49.7","36.16","-0.33",NA,"579.12","7000","FALSE","0"
"abad94","SWA1066 ","United States","1586516819","1586516819","-83.2445","29.1659","12192","FALSE","199.06","316.57","0.33",NA,"12641.58","7450","FALSE","0"
