"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586517531","1586517531","13.5206","52.3711",NA,"TRUE","1.54","61.88",NA,NA,NA,NA,"FALSE","0"
"aa56db","UAL449  ","United States","1586517539","1586517539","-71.8766","42.742","9326.88","FALSE","209.24","283.8","6.5",NA,"8778.24","4463","FALSE","0"
"a10e8b","UAL795  ","United States","1586517539","1586517539","-74.5019","42.6727","11582.4","FALSE","210.58","285.73","0",NA,"11132.82","3503","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586517238","1586517239","-96.6928","33.6654","487.68","FALSE","59.32","78.5","-5.2",NA,"525.78",NA,"FALSE","0"
"a4b228","UPS992  ","United States","1586517533","1586517535","-116.8921","47.6362","3124.2","FALSE","132.94","293.49","-2.28",NA,"3154.68",NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586517538","1586517539","-86.0039","35.2553","10888.98","FALSE","263.73","150.68","-4.88",NA,"10988.04","3117","FALSE","0"
"acdfab","","United States",NA,"1586517538",NA,NA,"5958.84","FALSE","170.05","247.78","19.83",NA,"5760.72",NA,"FALSE","0"
"adeca5","AAL668  ","United States","1586517539","1586517539","-84.4815","29.2165","11582.4","FALSE","195.06","288.29","0",NA,"12024.36","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586517540","1586517540","-77.5597","36.4384","10363.2","FALSE","161.24","233.82","0",NA,"10294.62","2462","FALSE","0"
"e49450","TAM4566 ","Brazil","1586517539","1586517539","-47.5376","-23.2381","11315.7","FALSE","182.09","291.2","3.58",NA,"11879.58","4024","FALSE","0"
"ac83d5","EDV4900 ","United States","1586517539","1586517539","-75.8872","40.0232","10363.2","FALSE","194.19","230.91","0.33",NA,"10020.3","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586517540","1586517540","-15.3185","28.2858","11582.4","FALSE","223.64","205.92","0",NA,"12131.04","3331","FALSE","0"
"abf025","SWA2490 ","United States","1586517538","1586517539","-95.449","36.4426","6477","FALSE","192.1","55.03","15.61",NA,"6583.68","4611","FALSE","0"
"861f3c","ANA271  ","Japan","1586517539","1586517540","135.4737","35.1049","12199.62","FALSE","211.93","257.38","0.33",NA,"12161.52","1730","FALSE","0"
"abad94","SWA1066 ","United States","1586517538","1586517539","-84.1987","30.0435","12192","FALSE","187.38","316.22","0",NA,"12611.1","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586517299","1586517302","4.1149","53.6893","22.86","FALSE","71.34","308.85","-0.65",NA,"205.74","4343","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586517526","1586517539","4.8143","52.6744","274.32","FALSE","70","-77.46","1",NA,"487","7000","FALSE","3"
