"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586517261","1586517261","13.5188","52.3712",NA,"TRUE","7.46","157.5",NA,NA,NA,NA,"FALSE","0"
"aa56db","UAL449  ","United States","1586517359","1586517359","-71.4502","42.6656","7094.22","FALSE","192.18","282.99","13",NA,"6530.34","3475","FALSE","0"
"318d35","","Italy","1586517184","1586517184","-118.4068","33.9481",NA,"TRUE","8.23","261.56",NA,NA,NA,NA,"FALSE","0"
"a10e8b","UAL795  ","United States","1586517359","1586517359","-74.0627","42.583","10972.8","FALSE","206.7","285.59","0",NA,"10485.12","3503","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586517238","1586517239","-96.6928","33.6654","487.68","FALSE","59.32","78.5","-5.2",NA,"525.78",NA,"FALSE","0"
"a4b228","UPS992  ","United States","1586517358","1586517358","-116.5403","47.5331","4069.08","FALSE","185.29","293.22","-5.2",NA,"4099.56",NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586517359","1586517359","-86.1741","35.6349","11727.18","FALSE","245.34","162.17","-4.88",NA,"11818.62","3117","FALSE","0"
"adeca5","AAL668  ","United States","1586517359","1586517359","-84.1385","29.1163","11582.4","FALSE","194.73","288.48","0",NA,"12009.12","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586517359","1586517359","-77.2925","36.5848","9144","FALSE","162.27","239.94","0",NA,"9037.32","2462","FALSE","0"
"e49450","TAM4566 ","Brazil","1586517359","1586517359","-47.239","-23.3449","10187.94","FALSE","182.76","291.29","6.83",NA,"10675.62","4024","FALSE","0"
"ac83d5","EDV4900 ","United States","1586517359","1586517359","-75.5699","40.2202","10363.2","FALSE","193.87","231.03","0.33",NA,"10005.06","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586517317","1586517349","-15.15","28.7119","11582.4","FALSE","226.57","196.62","0",NA,"12115.8","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586517062","1586517081","8.5061","51.9239","426.72","FALSE","51.65","56.78","-0.65",NA,"594.36","2322","FALSE","0"
"abf025","SWA2490 ","United States","1586517358","1586517358","-95.7384","36.2882","2933.7","FALSE","148.23","59.79","18.86",NA,"2956.56","4611","FALSE","0"
"abad94","SWA1066 ","United States","1586517358","1586517358","-83.9582","29.8244","12192","FALSE","184.12","316.36","0",NA,"12618.72","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586517299","1586517302","4.1149","53.6893","22.86","FALSE","71.34","308.85","-0.65",NA,"205.74","4343","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586517358","1586517359","4.9745","52.6604","335.28","FALSE","71.01","-90.82","0",NA,"474","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586517359","1586517359","15.6819","49.1728","11887.2","FALSE","239.89","112.44","0",NA,"11940.54","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586517359","1586517359","21.0821","47.5885","11902.44","FALSE","243.45","115.54","-0.33",NA,"11971.02","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586517359","1586517359","8.9058","50.0469","8907.78","FALSE","217.4","319.22","-10.08",NA,"9151.62","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586517358","1586517359","6.3673","50.9355","419.1","FALSE","44.43","132.18","0.65",NA,"563.88","7000","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586517359","1586517359","19.0518","49.1336","11582.4","FALSE","203.91","350.56","0.33",NA,"11673.84","4505","FALSE","0"
"851936","JAL638  ","Japan","1586517359","1586517359","132.3416","33.2614","10660.38","FALSE","257.91","63.08","0",NA,"10774.68","1774","FALSE","0"
"a52bfb","EJA432  ","United States","1586517301","1586517348","-96.9865","45.7993","12192","FALSE","190.89","286.92","0",NA,"12070.08","5204","FALSE","0"
"a234d7","N241MP  ","United States","1586517359","1586517359","-77.9136","38.4192","1287.78","FALSE","63.12","186.08","0.33",NA,"1135.38","2423","FALSE","0"
"318ba9","","Italy","1586517066","1586517066","-118.4046","33.9478",NA,"TRUE","0","0","-0.33",NA,NA,NA,"FALSE","0"
"ab161b","SKW3742 ","United States","1586517358","1586517359","-71.7729","42.9983","4686.3","FALSE","159.69","272.95","16.26",NA,"4267.2","3406","FALSE","0"
"a785fd","JIA5108 ","United States","1586517359","1586517359","-88.4503","32.5845","12184.38","FALSE","171.31","269.66","-0.33",NA,"12519.66","0771","FALSE","0"
"a85887","JBU493  ","United States","1586517359","1586517359","-79.9069","43.9406","10965.18","FALSE","219.16","270.54","0",NA,"10500.36","3526","FALSE","0"
