"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586517261","1586517261","13.5188","52.3712",NA,"TRUE","7.46","157.5",NA,NA,NA,NA,"FALSE","0"
"aa56db","UAL449  ","United States","1586517298","1586517299","-71.319","42.6425","6316.98","FALSE","173.56","283.54","14.31",NA,"5791.2","3475","FALSE","0"
"318d35","","Italy","1586517184","1586517184","-118.4068","33.9481",NA,"TRUE","8.23","261.56",NA,NA,NA,NA,"FALSE","0"
"a10e8b","UAL795  ","United States","1586517299","1586517299","-73.9159","42.5526","10972.8","FALSE","207.83","285.65","0.33",NA,"10492.74","3503","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586517238","1586517239","-96.6928","33.6654","487.68","FALSE","59.32","78.5","-5.2",NA,"525.78",NA,"FALSE","0"
"a4b228","UPS992  ","United States","1586517298","1586517298","-116.4039","47.5026","4953","FALSE","178.99","277.43","-20.81",NA,"5021.58",NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586517298","1586517299","-86.2237","35.7607","11902.44","FALSE","243.87","162.06","-0.33",NA,"11986.26","3117","FALSE","0"
"adeca5","AAL668  ","United States","1586517299","1586517299","-84.0256","29.0832","11574.78","FALSE","193.27","288.63","0",NA,"12009.12","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586517299","1586517299","-77.1986","36.6286","9144","FALSE","161.82","239.85","0",NA,"9037.32","2462","FALSE","0"
"e49450","TAM4566 ","Brazil","1586517298","1586517299","-47.1409","-23.3795","9989.82","FALSE","171.6","290.72","1.95",NA,"10462.26","4024","FALSE","0"
"ac83d5","EDV4900 ","United States","1586517299","1586517299","-75.4628","40.2863","10363.2","FALSE","197.96","231.22","0.33",NA,"10005.06","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586517293","1586517293","-15.1356","28.7548","11582.4","FALSE","227.55","196.55","0",NA,"12115.8","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586517062","1586517081","8.5061","51.9239","426.72","FALSE","51.65","56.78","-0.65",NA,"594.36","2322","FALSE","0"
"abf025","SWA2490 ","United States","1586517299","1586517299","-95.817","36.2509","1493.52","FALSE","132.66","60.75","27.96",NA,"1287.78","3262","FALSE","0"
"abad94","SWA1066 ","United States","1586517297","1586517297","-83.8777","29.7507","12192","FALSE","184.85","316.35","0",NA,"12618.72","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586517298","1586517298","4.1156","53.6888","22.86","FALSE","74.51","341.06","0",NA,"205.74","4343","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586517297","1586517298","5.039","52.6607","335.28","FALSE","71.6","-90.76","0",NA,"470","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586517299","1586517299","15.5003","49.2217","11887.2","FALSE","239.98","112.17","0",NA,"11940.54","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586517299","1586517299","20.9054","47.6456","11887.2","FALSE","244.38","115.43","0.33",NA,"11955.78","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586517299","1586517299","9.0271","49.9562","9517.38","FALSE","226.16","319.24","-9.1",NA,"9753.6","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586517299","1586517299","6.3728","50.9583","358.14","FALSE","45.55","206.85","1.3",NA,"502.92","7000","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586517298","1586517299","19.0792","49.0243","11582.4","FALSE","204.92","350.61","0",NA,"11681.46","4216","FALSE","0"
"851936","JAL638  ","Japan","1586517299","1586517299","132.1936","33.1985","10660.38","FALSE","264.12","63.14","0",NA,"10782.3","1774","FALSE","0"
"a52bfb","EJA432  ","United States","1586517298","1586517298","-96.9797","45.7978","12192","FALSE","190.89","286.92","0",NA,"12070.08","5204","FALSE","0"
"a234d7","N241MP  ","United States","1586517299","1586517299","-77.9024","38.4513","1287.78","FALSE","62.69","203.2","0",NA,"1135.38","2423","FALSE","0"
"318ba9","","Italy","1586517066","1586517066","-118.4046","33.9478",NA,"TRUE","0","0","-0.33",NA,NA,NA,"FALSE","0"
"ab161b","SKW3742 ","United States","1586517294","1586517296","-71.6545","42.9937","3695.7","FALSE","143.04","278.48","10.4",NA,"3314.7","3406","FALSE","0"
"a785fd","JIA5108 ","United States","1586517298","1586517298","-88.3394","32.585","12184.38","FALSE","171.31","269.83","0",NA,"12519.66","0771","FALSE","0"
"a85887","JBU493  ","United States","1586517298","1586517299","-79.7422","43.94","10965.18","FALSE","219.68","270.54","0",NA,"10500.36","3526","FALSE","0"
"ae61fd","TORQE31 ","United States","1586517298","1586517298","54.5949","25.0272","8229.6","FALSE","176.58","87.83","0",NA,"8618.22","3231","FALSE","0"
