"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586515011","1586515011","13.5223","52.3876",NA,"TRUE","2.06","326.25",NA,NA,NA,NA,"FALSE","0"
"a1fb3e","KFS2711 ","United States","1586515019","1586515019","-93.1673","34.6179","8564.88","FALSE","188.74","254.18","0",NA,"8732.52","0067","FALSE","0"
"3945e8","XK151RN ","France","1586514979","1586514979","6.6791","42.6961","5181.6","FALSE","137.13","119.93","0",NA,"5326.38","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586515019","1586515020","-84.5333","40.1369","11582.4","FALSE","233.14","199.19","0",NA,"11361.42","0472","FALSE","0"
"3c406e","LEOS08  ","Germany","1586514819","1586514819","8.5537","50.0434",NA,"TRUE","4.12","247.5",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586515019","1586515019","-121.2095","38.6042","411.48","FALSE","66.38","234.46","-2.6",NA,"426.72","4201","FALSE","0"
"ad4302","","United States",NA,"1586515014",NA,NA,"8557.26","TRUE","82.65","197.76","0.65",NA,"8412.48",NA,"FALSE","0"
"3d36f5","DETBH   ","Germany","1586515019","1586515019","7.5548","51.1558","975.36","FALSE","49.52","47.53","-0.98",NA,"1127.76","7611","FALSE","0"
"e49437","AD6006  ","Brazil","1586515019","1586515019","-43.8679","-19.6604","10058.4","FALSE","243.47","37.79","0",NA,NA,"2507","FALSE","0"
"abad94","SWA1066 ","United States","1586515019","1586515019","-81.7927","26.5127","822.96","FALSE","97.24","234.04","14.96",NA,"807.72","7450","FALSE","0"
"47885f","BNOR    ","Norway","1586515009","1586515010","15.6308","67.6324","6400.8","FALSE","136.91","25.6","0",NA,"6004.56","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586515018","1586515019","-22.2636","63.6575","1706.88","FALSE","132.79","314.22","-9.75",NA,"1752.6","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586515020","1586515020","-97.1577","32.5727","1615.44","FALSE","104.16","56.07","-9.43",NA,"1661.16","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586515019","1586515019","51.6875","25.9352","3649.98","FALSE","137.95","201.21","-7.48",NA,"3832.86","5171","FALSE","0"
"3c65ae","DLH357  ","Germany","1586515019","1586515019","100.6865","13.5516","838.2","FALSE","128.57","209.74","10.08",NA,"815.34","0706","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586515002","1586515020","5.213","52.6734","304.8","FALSE","71.01","-90.82","0",NA,"463","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586515019","1586515019","8.358","50.8572","8930.64","FALSE","240.86","106.89","9.1",NA,"9090.66","6347","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586515019","1586515019","14.0686","49.6062","11894.82","FALSE","239.6","111.28","0",NA,"12024.36","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586515019","1586515019","13.9626","46.8669","11574.78","FALSE","224.97","308.13","0",NA,"11750.04","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586514752","1586514752","6.3326","50.9612","7.62","FALSE","27.27","358.92","-3.58",NA,"205.74","1711","TRUE","0"
