"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4045","B446    ","Germany","1586513428","1586513428","13.526","52.3709",NA,"TRUE","1.29","292.5",NA,NA,NA,NA,"FALSE","0"
"a3a575","JBU671  ","United States","1586513699","1586513700","-72.9521","40.7698","3383.28","FALSE","139.94","216.03","-10.4",NA,"3063.24","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586513699","1586513699","-90.591","35.2076","8534.4","FALSE","181.25","254.19","0",NA,"8679.18","2155","FALSE","0"
"3945e8","XK151RN ","France","1586513699","1586513699","5.1241","43.4256","1546.86","FALSE","87.67","168.49","11.38",NA,"1684.02","4761","FALSE","0"
"3c406e","LEOS08  ","Germany","1586513695","1586513695","8.588","50.0375",NA,"TRUE","6.94","67.5",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586513699","1586513699","-122.2231","37.7099",NA,"TRUE","9.26","129.38",NA,NA,NA,NA,"FALSE","0"
"ad4302","N9536M  ","United States","1586513542","1586513689","-78.053","37.6575","2514.6","FALSE","74.51","197.68","4.88",NA,"1927.86","5366","FALSE","0"
"aaef89","AAL2244 ","United States","1586513699","1586513699","-81.2086","26.0217","5867.4","FALSE","228.15","120.79","-12.03",NA,"6179.82","1067","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586513549","1586513553","-11.4781","35.9191","9936.48","FALSE","241.88","208.04","3.58",NA,"10218.42","3331","FALSE","0"
"e49437","AD6006  ","Brazil","1586513699","1586513699","-45.7692","-21.9728","8961.12","FALSE","252.63","37.8","9.1",NA,NA,"5007","FALSE","0"
"adda24","AAL2266 ","United States","1586513699","1586513699","-98.2465","30.8034","5158.74","FALSE","176.36","8.56","0",NA,"5341.62","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586513681","1586513696","51.7225","28.1275","8839.2","FALSE","222.7","173.37","0",NA,"9243.06","5171","FALSE","0"
"3455d5","IBE2824 ","Spain","1586513562","1586513666","85.597","52.4056","11582.4","FALSE","229.18","295.53","0",NA,"11430",NA,"FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586513694","1586513698","5.2862","52.6828","304.8","FALSE","62.03","89.09","-1",NA,"468","7000","FALSE","3"
"3c65c8","DLH8XC  ","Germany","1586513697","1586513700","8.1691","49.9116","1424.94","FALSE","107.01","359.72","0.33",NA,"1584.96","1000","FALSE","0"
"3c5ee4","EWG9824 ","Germany","1586513699","1586513699","8.9168","45.4718","2567.94","FALSE","143.38","169.46","-18.21",NA,"2682.24","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586513699","1586513699","9.9346","50.5708","11887.2","FALSE","237.35","108.32","0",NA,"12039.6","1000","FALSE","0"
"e80241","LCO1105 ","Chile","1586513699","1586513699","-59.1143","-34.4739","3131.82","FALSE","154.39","154.12","-2.6",NA,"3268.98","3754","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586513694","1586513696","16.0722","45.7421","22.86","TRUE","7.72","315",NA,NA,NA,"2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586513700","1586513700","6.361","50.9498","937.26","FALSE","47.74","37.12","0.33",NA,"1066.8","7000","FALSE","0"
"4b059b","","Switzerland","1586512938","1586513699","7.282","46.8342","1645.92","FALSE","59.56","55.53","0",NA,NA,"7000","FALSE","3"
"a6b5e7","ATN592  ","United States","1586513699","1586513699","-83.4192","42.3588","967.74","FALSE","89.5","26.27","-0.33",NA,"853.44","6767","FALSE","0"
"a8452f","PDT4866 ","United States","1586513699","1586513699","-78.2007","38.0207","3520.44","FALSE","191.1","100.7","6.83",NA,"3299.46",NA,"FALSE","0"
"ac491d","DAL867  ","United States","1586513699","1586513700","-80.0882","35.8202","3611.88","FALSE","153.62","202.44","7.8",NA,"3497.58","5220","FALSE","0"
"a94b29","UAL2372 ","United States","1586513699","1586513699","-79.2683","38.6152","6675.12","FALSE","262.7","80.08","-11.7",NA,"6377.94","3335","FALSE","0"
"861f00","JAL2088 ","Japan","1586513689","1586513689","133.0144","32.4491","11887.2","FALSE","269.72","58.49","0",NA,"11963.4","7332","FALSE","0"
"4248db","SBI1073 ","United Kingdom","1586513699","1586513699","45.9245","55.0092","11879.58","FALSE","243.41","116.62","0",NA,"11582.4","2743","FALSE","0"
