"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586517261","1586517261","13.5188","52.3712",NA,"TRUE","7.46","157.5",NA,NA,NA,NA,"FALSE","0"
"aa56db","UAL449  ","United States","1586517419","1586517419","-71.5891","42.6907","7932.42","FALSE","199.26","283.89","13",NA,"7360.92","3475","FALSE","0"
"318d35","","Italy","1586517184","1586517184","-118.4068","33.9481",NA,"TRUE","8.23","261.56",NA,NA,NA,NA,"FALSE","0"
"a10e8b","UAL795  ","United States","1586517419","1586517419","-74.2067","42.6124","11247.12","FALSE","206.42","285.32","10.73",NA,"10774.68","3503","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586517238","1586517239","-96.6928","33.6654","487.68","FALSE","59.32","78.5","-5.2",NA,"525.78",NA,"FALSE","0"
"a4b228","UPS992  ","United States","1586517416","1586517417","-116.6706","47.5711","3566.16","FALSE","178.33","293.46","-11.05",NA,"3596.64",NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586517419","1586517419","-86.1231","35.5058","11430","FALSE","254.28","161.97","-4.55",NA,"11551.92","3117","FALSE","0"
"adeca5","AAL668  ","United States","1586517418","1586517419","-84.2521","29.1496","11590.02","FALSE","195.87","288.53","0",NA,"12024.36","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586517420","1586517420","-77.3876","36.5396","9441.18","FALSE","167.53","237.29","6.5",NA,"9349.74","2462","FALSE","0"
"e49450","TAM4566 ","Brazil","1586517419","1586517419","-47.3396","-23.3086","10599.42","FALSE","182.57","291.14","8.45",NA,"11109.96","4024","FALSE","0"
"ac83d5","EDV4900 ","United States","1586517419","1586517419","-75.676","40.1546","10363.2","FALSE","192.82","231.17","0",NA,"10012.68","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586517367","1586517372","-15.1835","28.6128","11582.4","FALSE","226.57","196.62","0",NA,"12115.8","3331","FALSE","0"
"abf025","SWA2490 ","United States","1586517413","1586517419","-95.6528","36.3275","4145.28","FALSE","170.25","57.46","20.16",NA,"4084.32","4611","FALSE","0"
"861f3c","","Japan",NA,"1586517416",NA,NA,"12192","FALSE","212.82","257.58","0",NA,"12146.28","1730","FALSE","0"
"abad94","SWA1066 ","United States","1586517419","1586517419","-84.0389","29.898","12192","FALSE","185.57","316.35","0",NA,"12611.1","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586517299","1586517302","4.1149","53.6893","22.86","FALSE","71.34","308.85","-0.65",NA,"205.74","4343","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586517418","1586517419","4.9124","52.6602","335.28","FALSE","72","-90.02","0",NA,"467","4501","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586517419","1586517419","15.8649","49.1231","11887.2","FALSE","239.89","112.44","0",NA,"11940.54","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586517419","1586517419","21.2573","47.5318","11879.58","FALSE","244.14","115.59","0",NA,"11948.16","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586517419","1586517419","8.7884","50.1326","8305.8","FALSE","208.09","314.4","-10.08",NA,"8549.64","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586517419","1586517419","6.3508","50.941","327.66","FALSE","45.83","225","-1.95",NA,"472.44","7000","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586517419","1586517419","19.0245","49.2421","11582.4","FALSE","203.32","350.68","0",NA,"11673.84","4216","FALSE","0"
"851936","JAL638  ","Japan","1586517419","1586517419","132.4907","33.3251","10668","FALSE","257.22","63.13","0.33",NA,"10782.3","1774","FALSE","0"
"a52bfb","EJA432  ","United States","1586517301","1586517362","-96.9865","45.7993","12192","FALSE","190.89","286.92","0",NA,"12070.08","5204","FALSE","0"
"a234d7","N241MP  ","United States","1586517419","1586517419","-77.9184","38.384","1287.78","FALSE","62.72","187.07","0",NA,"1135.38","7544","FALSE","0"
"ab161b","SKW3742 ","United States","1586517419","1586517419","-71.8972","43.0037","5577.84","FALSE","172.1","273.26","12.68",NA,"5082.54","3406","FALSE","0"
"a785fd","JIA5108 ","United States","1586517418","1586517418","-88.559","32.584","12184.38","FALSE","172.34","269.66","-1.3",NA,"12519.66","0771","FALSE","0"
"a85887","JBU493  ","United States","1586517419","1586517419","-80.0708","43.9417","10965.18","FALSE","219.67","270.27","0",NA,"10507.98","3526","FALSE","0"
"ae61fd","TORQE31 ","United States","1586517415","1586517416","54.8002","25.0344","8229.6","FALSE","177.1","87.84","0",NA,"8618.22","3231","FALSE","0"
"a2ba48","","United States","1586517263","1586517324","-96.8135","46.6929","4038.6","FALSE","175.95","179.5","12.35",NA,"3238.5",NA,"FALSE","0"
"318cb7","","Italy","1586517214","1586517214","-118.4168","33.947",NA,"TRUE","9.26","264.38",NA,NA,NA,NA,"FALSE","0"
"8a0494","BTK6850 ","Indonesia","1586517414","1586517415","101.9256","-0.3648","3771.9","FALSE","208.78","323.92","-10.4",NA,"4130.04","3327","FALSE","0"
"48469c","KV4     ","Kingdom of the Netherlands","1586517419","1586517419","4.7069","52.3316",NA,"TRUE","13.38","182.81",NA,NA,NA,NA,"FALSE","0"
"861e9a","JAL331  ","Japan","1586517218","1586517218","131.8191","34.349","5227.32","FALSE","135.77","256.86","-4.23",NA,"5273.04","0436","FALSE","0"
"3d1276","DEFFY   ","Germany","1586517418","1586517419","8.9626","47.9575","1135.38","FALSE","67.7","281.4","-0.33",NA,"1272.54","7000","FALSE","0"
"8a0487","LNI982  ","Indonesia","1586517227","1586517243","101.7808","-0.0857","2880.36","FALSE","151.06","312.93","-7.15",NA,"3032.76","6312","FALSE","0"
"a57acf","N452P   ","United States","1586517418","1586517419","-94.4835","39.0376","670.56","FALSE","55.06","91.07","0.33",NA,"685.8",NA,"FALSE","0"
"3c5efa","EWG6700 ","Germany","1586517417","1586517417","26.3959","42.1592","10363.2","FALSE","237.72","124.24","-4.88",NA,"10477.5","7103","FALSE","0"
"861e70","ANA270  ","Japan","1586517420","1586517420","132.2728","33.5484","11254.74","FALSE","290.89","77.95","4.55",NA,"11308.08","1763","FALSE","0"
"a3b7cb","FFT530  ","United States","1586517419","1586517419","-81.1996","29.5526","10180.32","FALSE","245.91","21.09","13.33",NA,"10568.94","1076","FALSE","0"
"a65408","AAL683  ","United States","1586517418","1586517419","-78.9412","35.8779","2987.04","FALSE","129.84","340.56","18.53",NA,"2834.64","2444","FALSE","0"
"4248e8","SDM6461 ","United Kingdom","1586517419","1586517419","43.3578","59.7068","10668","FALSE","233.86","98.99","0",NA,"10226.04","0747","FALSE","0"
"abad6c","SWA2718 ","United States","1586517418","1586517418","-90.568","32.8588","12192","FALSE","175.59","259.88","0",NA,"12496.8","2512","FALSE","0"
"471f91","WZZ6373 ","Hungary","1586517419","1586517419","18.9971","53.2211","10972.8","FALSE","194.75","336.82","0",NA,"10965.18","1731","FALSE","0"
"acd2be","SWA2770 ","United States","1586517419","1586517419","-81.3225","28.4754","594.36","FALSE","101.07","7.02","5.85",NA,"541.02",NA,"FALSE","0"
"31814a","","Italy","1586517209","1586517209","-118.4339","33.9452",NA,"TRUE","6.69","250.31",NA,NA,NA,NA,"FALSE","0"
"7809a5","CCA840  ","China","1586517419","1586517419","12.9407","46.819","10972.8","FALSE","234.71","64.56","0",NA,"11186.16","0460","FALSE","0"
"a03ce6","AAL439  ","United States","1586517419","1586517419","-81.2836","35.6632","4777.74","FALSE","178.41","149.89","-11.38",NA,"4709.16","7433","FALSE","0"
"7c6a5e","RSCU52  ","Australia","1586517419","1586517419","138.6965","-34.835","975.36","FALSE","51.11","229.9","-3.25",NA,"1005.84","0525","FALSE","0"
"318d8c","","Italy","1586517214","1586517214","-118.4332","33.9426",NA,"TRUE","0","0","-0.33",NA,NA,NA,"FALSE","0"
"484607","NCG01   ","Kingdom of the Netherlands","1586517418","1586517418","4.7729","52.3158",NA,"TRUE","9.26","267.19",NA,NA,NA,"5177","FALSE","0"
"7809d7","CSZ9808 ","China","1586517394","1586517397","113.3523","23.139","3665.22","FALSE","185.7","154.57","-5.2",NA,"3863.34","5056","FALSE","0"
"a844c7","N6317G  ","United States","1586517417","1586517417","-81.0748","29.2121","472.44","FALSE","29.52","292.54","3.58",NA,"419.1",NA,"FALSE","0"
"318136","","Italy","1586517214","1586517214","-118.4094","33.9479",NA,"TRUE","0","0","-0.33",NA,NA,NA,"FALSE","0"
