"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"842194","ADO74   ","Japan","1586516457","1586516457","140.1153","35.3774","1584.96","FALSE","137.83","186.86","-4.23",NA,"1607.82","0405","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586516458","1586516458","-95.9135","33.9197","2834.64","FALSE","143","251.76","-12.03",NA,"2956.56","6131","FALSE","0"
"3945e8","XK151RN ","France","1586516422","1586516422","8.5907","41.6158","2011.68","FALSE","131.42","124.31","-7.8",NA,"2141.22","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586516446","1586516456","-85.7342","37.3748","11887.2","FALSE","218.81","198.65","0",NA,NA,"3117","FALSE","0"
"adeca5","AAL668  ","United States","1586516460","1586516460","-82.444","28.6059","9273.54","FALSE","204.35","289.26","8.45",NA,"9662.16","1026","FALSE","0"
"ad9cc0","N9763R  ","United States","1586516460","1586516460","-97.6496","33.0761","891.54","FALSE","69.48","314.7","0.98",NA,"906.78","1200","FALSE","0"
"ac83d5","EDV4900 ","United States","1586516459","1586516459","-73.9243","41.0277","3429","FALSE","140.38","242.03","10.73",NA,"3124.2","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586516458","1586516458","-14.5708","30.4005","11582.4","FALSE","228.98","196.85","0",NA,"12085.32","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586516460","1586516460","8.2245","51.6927","762","FALSE","58.08","32.7","-1.3",NA,"922.02","7742","FALSE","0"
"3c401f","","Germany","1586516177","1586516177","11.7569","48.3438",NA,"TRUE","9.77","261.56",NA,NA,NA,NA,"FALSE","0"
"861f3c","ANA271  ","Japan","1586516173","1586516187","138.5954","35.6123","11849.1","FALSE","210.93","260.17","8.78",NA,"11757.66","1730","FALSE","0"
"abad94","SWA1066 ","United States","1586516459","1586516460","-82.7425","28.6953","12192","FALSE","198","316.9","0",NA,"12656.82","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586516460","1586516460","4.5509","53.2089","480.06","FALSE","71.22","327.69","-0.33",NA,"655.32","4343","FALSE","0"
"3c65ae","DLH357  ","Germany","1586516439","1586516441","98.4624","14.9645","8587.74","FALSE","242.31","297.71","2.93",NA,"9098.28","0706","FALSE","0"
"86cfa0","ANA740  ","Japan","1586516459","1586516459","135.7557","34.461","1866.9","FALSE","99.69","345.96","-2.28",NA,"1950.72","0430","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586516457","1586516460","4.8178","52.6794","335.28","FALSE","71.15","-73.92","-1",NA,"474","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586516459","1586516460","12.9156","49.8776","11887.2","FALSE","237.96","110.24","0",NA,"11963.4","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586516460","1586516460","18.4355","48.3999","11887.2","FALSE","242.31","113.79","0",NA,"11978.64","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586516460","1586516460","10.6575","48.6877","11582.4","FALSE","221.12","320.57","-0.33",NA,"11765.28","1000","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586516460","1586516460","19.1523","47.5972","3284.22","FALSE","152.31","26.05","8.78",NA,"3429","4216","FALSE","0"
"3d3806","DETLU   ","Germany","1586516172","1586516450","7.6288","50.2768","419.1","FALSE","37.51","312.22","-0.33",NA,"556.26","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586516363","1586516363","-75.2183","39.8761","167.64","FALSE","63.26","255.4","-2.28",NA,"15.24","2101","FALSE","0"
"a52bfb","EJA432  ","United States","1586516459","1586516459","-95.0652","45.3722","11597.64","FALSE","163.17","288.38","5.2",NA,"11445.24","3640","FALSE","0"
