"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586516563","1586516563","13.519","52.3865",NA,"TRUE","1.54","340.31",NA,NA,NA,NA,"FALSE","0"
"842194","ADO74   ","Japan","1586516573","1586516573","140.0089","35.3353","1257.3","FALSE","111.13","296.09","-1.63",NA,"1295.4","0405","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586516477","1586516537","-95.9412","33.9123","2621.28","FALSE","140.14","253.36","-13.33",NA,"2590.8","6131","FALSE","0"
"3945e8","XK151RN ","France","1586516542","1586516542","8.7507","41.5374","1272.54","FALSE","131.16","117.57","-6.18",NA,"1394.46","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586516446","1586516522","-85.7342","37.3748","11887.2","FALSE","218.81","198.65","0",NA,NA,"3117","FALSE","0"
"adeca5","AAL668  ","United States","1586516580","1586516580","-82.6766","28.6775","10210.8","FALSE","196.7","289.24","7.8",NA,"10622.28","1026","FALSE","0"
"ac96fb","DAL1183 ","United States","1586516579","1586516580","-76.1849","36.9092","464.82","FALSE","85.5","43.78","13.98",NA,"342.9",NA,"FALSE","0"
"e49450","TAM4566 ","Brazil","1586516580","1586516580","-46.4827","-23.4341",NA,"TRUE","4.37","73.12",NA,NA,NA,NA,"FALSE","0"
"ad9cc0","N9763R  ","United States","1586516579","1586516579","-97.7276","33.119","998.22","FALSE","77.57","294.7","0.33",NA,"1013.46","1200","FALSE","0"
"ac83d5","EDV4900 ","United States","1586516580","1586516580","-74.1304","40.9417","5105.4","FALSE","173.19","240.85","15.28",NA,"4716.78","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586516579","1586516579","-14.6536","30.1629","11582.4","FALSE","228.98","196.85","0",NA,"12092.94","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586516580","1586516580","8.2829","51.7456","640.08","FALSE","57.53","35.54","0",NA,"792.48","7000","FALSE","0"
"abad94","SWA1066 ","United States","1586516579","1586516580","-82.909","28.8524","12192","FALSE","197.95","316.47","0",NA,"12656.82","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586516580","1586516580","4.4815","53.2749","472.44","FALSE","72.64","327.44","0",NA,"647.7","4343","FALSE","0"
"3c65ae","DLH357  ","Germany","1586516439","1586516441","98.4624","14.9645","8587.74","FALSE","242.31","297.71","2.93",NA,"9098.28","0706","FALSE","0"
"86cfa0","ANA740  ","Japan","1586516579","1586516579","135.7099","34.5591","1508.76","FALSE","93.8","319.67","-1.3",NA,"1600.2","0430","FALSE","0"
