"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586514839","1586514839","13.5262","52.3841",NA,"TRUE","2.57","331.88",NA,NA,NA,NA,"FALSE","0"
"a1fb3e","KFS2711 ","United States","1586514838","1586514838","-92.8113","34.7034","8564.88","FALSE","187.26","254.05","0",NA,"8732.52","0067","FALSE","0"
"3945e8","XK151RN ","France","1586514839","1586514839","6.4744","42.7829","5181.6","FALSE","137.57","119.82","0",NA,"5326.38","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586514838","1586514839","-84.3608","40.4918","11551.92","FALSE","227.23","204.48","3.9",NA,"11308.08","4140","FALSE","0"
"3c406e","LEOS08  ","Germany","1586514819","1586514819","8.5537","50.0434",NA,"TRUE","4.12","247.5",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586514839","1586514839","-121.1745","38.524","716.28","FALSE","131.85","47.85","-7.48",NA,"746.76","4201","FALSE","0"
"aaef89","AAL2244 ","United States","1586514537","1586514562","-80.1824","25.8056","480.06","FALSE","75.2","267.26","-3.9",NA,"457.2","1067","FALSE","0"
"3c4003","","Germany","1586514613","1586514613","13.48","52.3599",NA,"TRUE","9.77","337.5",NA,NA,NA,NA,"FALSE","0"
"3d36f5","DETBH   ","Germany","1586514838","1586514839","7.4659","51.1085","548.64","FALSE","49.5","52.18","1.63",NA,"708.66","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586514839","1586514839","-44.1258","-19.9749","10058.4","FALSE","244.91","37.83","0",NA,NA,"2507","FALSE","0"
"47885f","BNOR    ","Norway","1586514839","1586514839","15.3927","67.4419","6400.8","FALSE","138.52","25.52","0",NA,"6012.18","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586514801","1586514821","-21.8032","63.4563","4152.9","FALSE","183.34","315","-15.28",NA,"4549.14","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586514839","1586514839","-97.3487","32.4648","2667","FALSE","144.11","55.91","-3.9",NA,"2735.58","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586514838","1586514839","51.7849","26.1624","4975.86","FALSE","159.16","201.42","-8.13",NA,"5227.32","5171","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586514835","1586514838","5.2438","52.6766","304.8","FALSE","62.08","90.02","0",NA,"465","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586514839","1586514839","7.7979","50.963","7208.52","FALSE","218.58","106.69","9.75",NA,"7376.16","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586514839","1586514839","13.513","49.7466","11887.2","FALSE","239.23","111.05","-0.33",NA,"12024.36","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586514839","1586514839","14.3788","46.6406","11582.4","FALSE","225.2","308.41","0",NA,"11750.04","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586514752","1586514752","6.3326","50.9612","7.62","FALSE","27.27","358.92","-3.58",NA,"205.74","1711","TRUE","0"
"4b059b","","Switzerland","1586514661","1586514774","8.3093","47.2521","640.08","FALSE","29.72","-20.57","-3",NA,"895","7000","FALSE","3"
"3d3806","DETLU   ","Germany","1586514838","1586514839","8.5696","50.2206","586.74","FALSE","43.96","325.01","-0.33",NA,"731.52","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586514839","1586514839","-75.6729","39.0952","4373.88","FALSE","166.03","8.73","-11.05",NA,"4076.7","0546","FALSE","0"
"ac491d","DAL867  ","United States","1586514839","1586514839","-81.905","35.134","8534.4","FALSE","166.28","250.67","0.33",NA,"8595.36","5220","FALSE","0"
"a94b29","UAL2372 ","United States","1586514837","1586514838","-77.4412","38.9441",NA,"TRUE","7.72","270",NA,NA,NA,"3335","FALSE","0"
"861f00","JAL2088 ","Japan","1586514838","1586514839","134.965","33.8543","5181.6","FALSE","168.83","32.43","0.33",NA,"5189.22","7332","FALSE","0"
"a785fd","JIA5108 ","United States","1586514838","1586514838","-83.9404","32.5233","11574.78","FALSE","173.48","272.04","0.98",NA,"11910.06","2655","FALSE","0"
"a85887","JBU493  ","United States","1586514839","1586514839","-73.1704","43.1044","10972.8","FALSE","216.2","288.31","0",NA,"10500.36","3526","FALSE","0"
"4248db","SBI1073 ","United Kingdom","1586514839","1586514839","49.0614","53.7386","3832.86","FALSE","181.79","103.92","-10.08",NA,"3802.38","2743","FALSE","0"
"7c7cc5","HM4     ","Australia","1586514838","1586514838","144.0609","-38.082","1859.28","FALSE","55.31","260.36","0.33",NA,"1859.28","0044","FALSE","0"
"73306e","KIS7054 ","Islamic Republic of Iran","1586514811","1586514824","52.7036","29.1387","9761.22","FALSE","224.96","345.84","-0.33",NA,NA,"4150","FALSE","0"
"4a09ac","BLA9103 ","Romania","1586514839","1586514839","-1.3003","40.7443","7749.54","FALSE","203.03","251.84","-8.13",NA,"7932.42","3242","FALSE","0"
"48469c","","Kingdom of the Netherlands","1586514620","1586514620","4.7446","52.3197",NA,"TRUE","4.12","8.44",NA,NA,NA,NA,"FALSE","0"
"aaa752","BVN8515 ","United States","1586514838","1586514838","-84.6921","33.0209","1859.28","FALSE","74.71","202.68","0",NA,"1828.8","5157","FALSE","0"
"45c089","OYPDI   ","Denmark","1586514839","1586514839","9.3424","55.472","274.32","FALSE","38.18","14.04","3.9",NA,"419.1","5664","FALSE","0"
"a57acf","N452P   ","United States","1586514838","1586514838","-94.5513","39.0056","350.52","FALSE","19.56","296.57","-1.95",NA,"403.86","4317","FALSE","0"
"a38a21","UPS1348 ","United States","1586514838","1586514838","-81.5971","26.6385","647.7","FALSE","59.64","235.9","0.33",NA,"624.84","6627","FALSE","0"
"344496","","Spain","1586514814","1586514815","-16.0127","28.8583","6179.82","FALSE","216.04","51.57","12.35",NA,"6553.2","4445","FALSE","0"
"3c5efa","EWG6700 ","Germany","1586514839","1586514839","20.0579","45.3213","11887.2","FALSE","236.7","128.12","0.33",NA,"11993.88","6435","FALSE","0"
"471f8f","WZZ5    ","Hungary","1586514839","1586514839","21.6252","44.0089","11079.48","FALSE","244.82","134.74","-10.4",NA,"11254.74","6432","FALSE","0"
"3d2550","DEMJO   ","Germany","1586514839","1586514839","6.9301","49.8898","906.78","FALSE","72.62","76.06","-0.65",NA,"1051.56","7000","FALSE","0"
"86d5e5","APJ218  ","Japan","1586514839","1586514839","132.9546","32.7125","9128.76","FALSE","229.23","39.26","-10.4",NA,"9288.78","7352","FALSE","0"
"4248e8","SDM6461 ","United Kingdom","1586514839","1586514839","32.6093","59.91","10492.74","FALSE","238.08","86.66","4.88",NA,"10012.68","0747","FALSE","0"
"abad6c","SWA2718 ","United States","1586514839","1586514839","-85.9273","33.4555","12192","FALSE","164.5","262.45","1.95",NA,"12428.22","2512","FALSE","0"
"471f91","WZZ6373 ","Hungary","1586514839","1586514839","21.7287","48.9769","10972.8","FALSE","198.34","339.03","0.33",NA,"11018.52","5404","FALSE","0"
"7809a5","CCA840  ","China","1586514838","1586514839","6.9646","43.2813","10972.8","FALSE","237.99","46.58","0",NA,"11163.3","5532","FALSE","0"
"aae270","MTN8327 ","United States","1586514838","1586514838","-83.5249","39.7867","3063.24","FALSE","119.39","271.48","0.65",NA,"2872.74","2236","FALSE","0"
