"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586517179","1586517179","13.5213","52.3723",NA,"TRUE","5.66","230.62",NA,NA,NA,NA,"FALSE","0"
"aa56db","UAL449  ","United States","1586517180","1586517180","-71.1609","42.5278","4267.2","FALSE","151.14","341.13","12.35",NA,"3848.1","3475","FALSE","0"
"318d35","","Italy","1586517179","1586517179","-118.4063","33.9482",NA,"TRUE","0","0","-0.33",NA,NA,NA,"FALSE","0"
"a10e8b","UAL795  ","United States","1586517179","1586517180","-73.6246","42.4916","10652.76","FALSE","207.83","285.65","11.7",NA,"10142.22","3503","FALSE","0"
"a1fb3e","","United States",NA,"1586517178",NA,NA,NA,"FALSE","78.15","159.18","-1.95",NA,NA,NA,"FALSE","0"
"a4b228","UPS992  ","United States","1586517179","1586517179","-116.1039","47.4851","6339.84","FALSE","202.93","274.94","-11.7",NA,"6431.28",NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586517177","1586517179","-86.2908","36.0103","11887.2","FALSE","210.16","191.01","0",NA,"11955.78","3117","FALSE","0"
"adeca5","AAL668  ","United States","1586517179","1586517179","-83.8021","29.017","11590.02","FALSE","192.13","288.58","0",NA,"12031.98","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586517180","1586517180","-77.0118","36.7144","9006.84","FALSE","161.8","244.98","10.08",NA,"8884.92","2462","FALSE","0"
"e49450","TAM4566 ","Brazil","1586517179","1586517179","-46.9465","-23.4486","8549.64","FALSE","186.49","291.19","12.68",NA,"8930.64","4024","FALSE","0"
"ac83d5","EDV4900 ","United States","1586517179","1586517179","-75.2493","40.4199","10363.2","FALSE","198.46","230.57","0",NA,"9989.82","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586517179","1586517179","-15.0607","28.9763","11582.4","FALSE","228.68","196.6","0",NA,"12108.18","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586517062","1586517081","8.5061","51.9239","426.72","FALSE","51.65","56.78","-0.65",NA,"594.36","2322","FALSE","0"
"abad94","SWA1066 ","United States","1586517179","1586517179","-83.7247","29.6102","12192","FALSE","183.39","316.36","0",NA,"12626.34","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586516956","1586517049","4.262","53.4817","480.06","FALSE","72.64","327.44","0",NA,"655.32","7000","FALSE","0"
"86cfa0","ANA740  ","Japan","1586516874","1586516880","135.5198","34.716","388.62","FALSE","69.48","315.3","-3.9",NA,"533.4","0430","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586517176","1586517179","5.1666","52.661","304.8","FALSE","72.32","-90.82","0",NA,"459","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586517179","1586517180","15.1354","49.3189","11887.2","FALSE","239.59","111.94","-0.33",NA,"11948.16","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586517180","1586517180","20.5565","47.7567","11902.44","FALSE","243.04","115.05","0",NA,"11978.64","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586517180","1586517180","9.27","49.7729","10469.88","FALSE","222.98","319.59","-7.15",NA,"10690.86","2263","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586517179","1586517179","19.1329","48.8079","11483.34","FALSE","203.32","350.68","4.88",NA,"11582.4","4216","FALSE","0"
"851936","JAL638  ","Japan","1586517179","1586517179","131.8951","33.0704","9974.58","FALSE","259.29","62.98","12.03",NA,"10096.5","1774","FALSE","0"
"a52bfb","EJA432  ","United States","1586517131","1586517179","-96.587","45.7136","12192","FALSE","191.04","287.07","0",NA,"12070.08","5204","FALSE","0"
"ac491d","DAL867  ","United States","1586516977","1586516994","-84.4039","33.6495","304.8","FALSE","65.34","269.55","-2.6",NA,"312.42","5220","FALSE","0"
"a234d7","N241MP  ","United States","1586517179","1586517179","-77.8715","38.51","1287.78","FALSE","66.01","175.98","0",NA,"1135.38","2423","FALSE","0"
"318ba9","","Italy","1586517066","1586517066","-118.4046","33.9478",NA,"TRUE","0","0","-0.33",NA,NA,NA,"FALSE","0"
