"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"a3a575","JBU671  ","United States","1586514360","1586514360","-73.643","40.5908","830.58","FALSE","58.58","300.62","-2.93",NA,"632.46","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586514358","1586514359","-91.8716","34.924","8564.88","FALSE","184.36","254.3","0",NA,"8717.28","1563","FALSE","0"
"3945e8","XK151RN ","France","1586514360","1586514360","5.7899","43.0682","5181.6","FALSE","119.77","119.32","1.95",NA,"5326.38","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586514356","1586514358","-83.7544","41.4555","6499.86","FALSE","251.01","206.14","10.08",NA,"6217.92","4140","FALSE","0"
"3c406e","LEOS08  ","Germany","1586514360","1586514360","8.5838","50.0504",NA,"TRUE","4.12","247.5",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586514360","1586514360","-121.7744","38.1046","3307.08","FALSE","177.18","43.94","0",NA,"3322.32","4201","FALSE","0"
"aaef89","AAL2244 ","United States","1586514358","1586514358","-80.0861","25.885","937.26","FALSE","121.53","162.26","0",NA,"937.26","1067","FALSE","0"
"3d36f5","DETBH   ","Germany","1586514360","1586514360","7.1896","50.9568","518.16","FALSE","50.39","49.97","1.3",NA,"662.94","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586514359","1586514359","-44.8141","-20.8105","10058.4","FALSE","246.23","37.44","0",NA,NA,"5007","FALSE","0"
"47885f","BNOR    ","Norway","1586514360","1586514360","14.7564","66.9155","6400.8","FALSE","136.72","24.93","0",NA,"6027.42","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586514359","1586514359","-20.6061","62.8392","11216.64","FALSE","209.2","319.89","-7.48",NA,"11148.06","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586514360","1586514360","-97.8581","31.9014","5044.44","FALSE","197.47","22.36","-4.88",NA,"5212.08","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586514359","1586514360","51.8795","26.9236","6088.38","FALSE","185.05","172.97","0",NA,"6385.56","5171","FALSE","0"
"8686b2","JAL4122 ","Japan","1586514320","1586514322","140.5686","35.5315","1485.9","FALSE","94.62","34.81","-0.65",NA,"1493.52","0445","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586514360","1586514360","4.8152","52.6881","335.28","FALSE","69.76","-136.85","0",NA,"474","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586514360","1586514360","6.8426","51.3227","762","FALSE","104.74","53.19","6.5",NA,"876.3","1000","FALSE","0"
"3c65c8","DLH8XC  ","Germany","1586514300","1586514303","8.566","50.0453",NA,"TRUE","0","112.5",NA,NA,NA,"1000","FALSE","0"
"3c5ee4","EWG9824 ","Germany","1586514189","1586514321","8.7253","45.622","152.4","TRUE","8.75","348.75",NA,NA,NA,"1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586514360","1586514360","12.0196","50.1074","11887.2","FALSE","238.26","110.08","0",NA,"12031.98","1000","FALSE","0"
"e80241","LCO1105 ","Chile","1586514308","1586514308","-58.5309","-34.8231",NA,"TRUE","24.18","104.06",NA,NA,NA,"3754","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586514360","1586514360","15.5726","46.1325","7513.32","FALSE","208.66","301.18","12.68",NA,"7711.44","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586514359","1586514359","6.2543","50.963","716.28","FALSE","48.9","181.81","-0.33",NA,"853.44","7000","FALSE","0"
"4b059b","","Switzerland","1586514359","1586514360","8.1762","47.2082","1280.16","FALSE","52.35","51.95","0",NA,"1401","7000","FALSE","3"
"3d3806","DETLU   ","Germany","1586514360","1586514360","8.8195","50.0571","335.28","FALSE","58.67","324.64","-0.33",NA,"472.44","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586514360","1586514360","-76.5623","38.5467","5113.02","FALSE","236.73","58.42","-1.95",NA,"4831.08","2101","FALSE","0"
"ac491d","DAL867  ","United States","1586514360","1586514360","-81.0726","35.3676","8534.4","FALSE","167.07","251.51","0",NA,"8572.5","5220","FALSE","0"
"a94b29","UAL2372 ","United States","1586514360","1586514360","-77.7844","38.7573","1714.5","FALSE","147.72","83","-7.8",NA,"1562.1","3335","FALSE","0"
"a785fd","JIA5108 ","United States","1586514360","1586514360","-83.0793","32.5434","11574.78","FALSE","170.1","264.27","-0.33",NA,"11902.44","2655","FALSE","0"
"a85887","JBU493  ","United States","1586514359","1586514360","-71.976","42.8068","8420.1","FALSE","206.78","289.02","10.4",NA,"7833.36","3526","FALSE","0"
"4248db","SBI1073 ","United Kingdom","1586514359","1586514359","48.0621","54.3196","9037.32","FALSE","231.52","120.44","-12.03",NA,"8900.16","2743","FALSE","0"
"7c7cc5","HM4     ","Australia","1586514359","1586514360","144.3508","-38.0425","1348.74","FALSE","51.68","260.26","2.93",NA,"1341.12","0044","FALSE","0"
