"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"a3a575","JBU671  ","United States","1586514468","1586514479","-73.6987","40.6162","495.3","FALSE","49.41","301.37","-2.6",NA,"304.8","3451","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586514468","1586514479","-92.0849","34.8731","8564.88","FALSE","185.41","255.54","0",NA,"8717.28","1563","FALSE","0"
"3945e8","XK151RN ","France","1586514479","1586514479","5.9525","43.0011","5181.6","FALSE","133.36","119.33","0",NA,"5334","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586514479","1586514480","-83.9213","41.1996","7543.8","FALSE","263.2","206.21","5.53",NA,"7246.62","4140","FALSE","0"
"3c406e","LEOS08  ","Germany","1586514479","1586514479","8.5792","50.0486",NA,"TRUE","1.03","286.88",NA,NA,NA,NA,"FALSE","0"
"a0e249","UPS966  ","United States","1586514479","1586514479","-121.6072","38.2406","3307.08","FALSE","165.9","43.99","0",NA,"3329.94","4201","FALSE","0"
"aaef89","AAL2244 ","United States","1586514479","1586514479","-80.134","25.8076","685.8","FALSE","84.45","267.56","-1.95",NA,"678.18","1067","FALSE","0"
"3d36f5","DETBH   ","Germany","1586514480","1586514480","7.2588","50.9981","518.16","FALSE","60.78","43.29","-3.58",NA,"685.8","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586514479","1586514479","-44.6417","-20.6004","10058.4","FALSE","245.05","38.27","0",NA,NA,"5007","FALSE","0"
"47885f","BNOR    ","Norway","1586514480","1586514480","14.9136","67.0481","6400.8","FALSE","135.1","25","-0.33",NA,"6027.42","0263","FALSE","0"
"0d0ae3","XAFUF   ","Mexico","1586514408","1586514418","-20.7357","62.9096","10439.4","FALSE","212.56","320.11","-15.28",NA,"10393.68","2015","FALSE","0"
"adda24","AAL2266 ","United States","1586514479","1586514479","-97.7666","32.0911","4472.94","FALSE","185.24","22.36","-4.55",NA,"4617.72","2506","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586514479","1586514479","51.9064","26.7229","6088.38","FALSE","186.52","173.19","0",NA,"6385.56","5171","FALSE","0"
"8686b2","JAL4122 ","Japan","1586514320","1586514371","140.5686","35.5315","1485.9","FALSE","94.62","34.81","-0.65",NA,"1493.52","0445","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586514461","1586514479","4.8949","52.6756","304.8","FALSE","62.11","90.94","0",NA,"469","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586514480","1586514480","7.0585","51.3327","2278.38","FALSE","147.09","130.32","7.48",NA,"2385.06","1000","FALSE","0"
"3c65c8","DLH8XC  ","Germany","1586514300","1586514303","8.566","50.0453",NA,"TRUE","0","112.5",NA,NA,NA,"1000","FALSE","0"
"3c5ee4","EWG9824 ","Germany","1586514189","1586514321","8.7253","45.622","152.4","TRUE","8.75","348.75",NA,NA,NA,"1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586514480","1586514480","12.3946","50.0193","11887.2","FALSE","238.62","110.31","0",NA,"12024.36","1000","FALSE","0"
"e80241","LCO1105 ","Chile","1586514308","1586514308","-58.5309","-34.8231",NA,"TRUE","24.18","104.06",NA,NA,NA,"3754","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586514480","1586514480","15.2823","46.254","8862.06","FALSE","224.27","300.92","10.73",NA,"9060.18","2263","FALSE","0"
"3ff03d","DMEGX   ","Germany","1586514479","1586514480","6.2476","50.9163","723.9","FALSE","42.63","98.33","-0.33",NA,"861.06","7000","FALSE","0"
"4b059b","","Switzerland","1586514480","1586514480","8.2458","47.2404","1310.64","FALSE","56.24","54.77","-4",NA,"1421","7000","FALSE","3"
"3d3806","DETLU   ","Germany","1586514480","1586514480","8.7635","50.1064","327.66","FALSE","56.07","326.6","-0.33",NA,"457.2","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586514480","1586514480","-76.2944","38.6751","4907.28","FALSE","220.85","58.24","-1.95",NA,"4617.72","2101","FALSE","0"
"ac491d","DAL867  ","United States","1586514480","1586514480","-81.2805","35.3099","8534.4","FALSE","167.4","251.18","0.33",NA,"8572.5","5220","FALSE","0"
"a94b29","UAL2372 ","United States","1586514479","1586514480","-77.5862","38.7859","944.88","FALSE","141.05","62.41","-5.2",NA,"807.72","6103","FALSE","0"
"a785fd","JIA5108 ","United States","1586514480","1586514480","-83.2932","32.5248","11574.78","FALSE","168.57","264.22","0.33",NA,"11902.44","2655","FALSE","0"
"a85887","JBU493  ","United States","1586514479","1586514479","-72.2671","42.8806","9243.06","FALSE","218.33","289.12","7.48",NA,"8694.42","3526","FALSE","0"
"4248db","SBI1073 ","United Kingdom","1586514478","1586514479","48.3535","54.165","7597.14","FALSE","207.33","142.56","-11.7",NA,"7498.08","4023","FALSE","0"
"7c7cc5","HM4     ","Australia","1586514479","1586514479","144.2818","-38.052","1714.5","FALSE","50.66","260.06","3.25",NA,"1714.5","0044","FALSE","0"
"4a09ac","BLA9103 ","Romania","1586514480","1586514480","-0.4444","40.966","11049","FALSE","216.56","250.58","-12.03",NA,"11239.5","3242","FALSE","0"
"48469c","","Kingdom of the Netherlands","1586514292","1586514292","4.7542","52.3195",NA,"TRUE","3.6","230.62",NA,NA,NA,NA,"FALSE","0"
"aaa752","BVN8515 ","United States","1586514479","1586514480","-84.5825","33.2442","1859.28","FALSE","75.39","202.89","0",NA,"1821.18","5157","FALSE","0"
"45c089","OYPDI   ","Denmark","1586514480","1586514480","9.2483","55.3535","358.14","FALSE","57.12","133.91","-0.65",NA,"495.3","5664","FALSE","0"
"a57acf","N452P   ","United States","1586514477","1586514479","-94.3417","38.9467","647.7","FALSE","60.87","290.27","0",NA,"670.56",NA,"FALSE","0"
"a38a21","UPS1348 ","United States","1586514479","1586514479","-81.6355","26.5081","975.36","FALSE","128.57","97.13","-0.33",NA,"967.74","6627","FALSE","0"
"3c5efa","EWG6700 ","Germany","1586514479","1586514479","19.1997","45.7917","11894.82","FALSE","237.29","127.69","0.33",NA,"12009.12","6435","FALSE","0"
"471f8f","WZZ5    ","Hungary","1586514479","1586514479","20.8535","44.5564","11277.6","FALSE","236.46","134.47","-0.65",NA,"11430","6432","FALSE","0"
"86cec5","SNJ27   ","Japan",NA,"1586514477",NA,NA,"11582.4","FALSE","189.95","247.05","0.33",NA,"11673.84","0431","FALSE","0"
"3d2550","DEMJO   ","Germany","1586514448","1586514448","6.7813","49.8623",NA,"TRUE","5.4","132.19",NA,NA,NA,NA,"FALSE","0"
"86d5e5","","Japan",NA,"1586514338",NA,NA,NA,"FALSE","235.15","34.21","0",NA,NA,NA,"FALSE","0"
"4248e8","SDM6461 ","United Kingdom","1586514480","1586514480","31.1259","59.8635","7459.98","FALSE","221.24","94","9.43",NA,"7094.22","0747","FALSE","0"
"86cee7","SNJ79   ","Japan","1586514247","1586514265","132.1438","32.2635","9281.16","FALSE","179.03","242.26","-4.88",NA,"9448.8","7341","FALSE","0"
"abad6c","SWA2718 ","United States","1586514479","1586514479","-85.2798","33.5246","8442.96","FALSE","189.77","262.84","16.58",NA,"8587.74","2512","FALSE","0"
"471f91","WZZ6373 ","Hungary","1586514480","1586514480","22.0749","48.3764","10972.8","FALSE","199.72","339.65","-0.33",NA,"11026.14","5404","FALSE","0"
"8a03b2","CTV722  ","Indonesia","1586514239","1586514252","108.2289","-6.192","10561.32","FALSE","235.32","94.51","8.13",NA,"10591.8","2446","FALSE","0"
"7809a5","CCA840  ","China","1586514480","1586514480","6.2048","42.7499","10972.8","FALSE","239.41","46.22","0",NA,"11163.3","5532","FALSE","0"
"a03ce6","AAL439  ","United States","1586514480","1586514480","-82.0918","40.964","5394.96","FALSE","196.32","202.33","13",NA,"5074.92","2034","FALSE","0"
"a8f75b","SKQ66   ","United States","1586514480","1586514480","-81.7987","35.9711","4953","FALSE","86.21","265.21","-0.33",NA,"4876.8","5153","FALSE","0"
"4400d0","TYW431  ","Austria","1586514381","1586514386","-13.6614","29.5881","12496.8","FALSE","208.15","232.73","0",NA,"13030.2","1027","FALSE","0"
"a3a61b","TPA4006 ","United States","1586514480","1586514480","-74.2055","4.7383","2948.94","FALSE","104.23","307.38","4.23",NA,"3116.58","2275","FALSE","0"
"4008ad","SHT9Z   ","United Kingdom","1586514358","1586514358","-0.4887","51.4748",NA,"TRUE","4.37","270",NA,NA,NA,"5431","FALSE","0"
"7809fb","CSN3618 ","China","1586514479","1586514479","113.4366","22.4603","2712.72","FALSE","153.14","86.15","-5.2",NA,"2872.74","0666","FALSE","0"
"7c7193","POL62   ","Australia","1586514459","1586514476","115.764","-32.182","251.46","FALSE","30.3","229.82","-2.6",NA,"266.7","0062","FALSE","0"
"a0934b","UPS684  ","United States","1586514266","1586514273","-95.8694","41.2751","36972.24","FALSE","62.38","324.74","-3.25",NA,"419.1","5655","TRUE","0"
"a64160","FTD502  ","United States","1586514480","1586514480","-96.7961","31.801","10751.82","FALSE","180.28","212.06","-10.4",NA,"11117.58","5465","FALSE","0"
"a4bf70","KII837  ","United States","1586514478","1586514479","-84.8806","38.87","3337.56","FALSE","180.9","191.15","4.88",NA,"3169.92",NA,"FALSE","0"
"a45c48","N380LD  ","United States","1586514480","1586514480","4.8173","52.6093","205.74","FALSE","70.4","153.06","-0.33",NA,"373.38","7000","FALSE","0"
"a40cd9","FFT428  ","United States","1586514479","1586514479","-81.4672","29.5917","8229.6","FALSE","194.14","345.89","0.33",NA,"8534.4","1065","FALSE","0"
"a4bf95","DAL196  ","United States","1586514479","1586514479","126.5269","37.6461","2621.28","FALSE","141.32","118.24","12.35",NA,"2674.62","4333","FALSE","0"
"800407","","India","1586514450","1586514452","85.8246","20.2048","12489.18","FALSE","264.05","68.63","0.33",NA,"13053.06","1000","FALSE","0"
"c2b37d","CFC4165 ","Canada","1586514480","1586514480","13.3929","50.7691","10660.38","FALSE","251.78","118.03","0",NA,"10805.16","1143","FALSE","0"
"c035d4","JZA781  ","Canada","1586514480","1586514480","-73.1751","45.6833","2788.92","FALSE","138.63","256.48","-7.15",NA,"2407.92","5533","FALSE","0"
"4690e5","OAL15Z  ","Greece","1586514313","1586514402","24.4051","35.5694","9212.58","TRUE","148.71","181.19","-11.7",NA,NA,"6760","FALSE","0"
"a546c9","RPA4695 ","United States","1586514408","1586514447","-94.7118","39.2932",NA,"TRUE","0","315",NA,NA,NA,"1753","FALSE","0"
"a76192","AMF1326 ","United States","1586514479","1586514479","-82.5254","39.5684","6393.18","FALSE","131.99","69.94","0",NA,"6111.24","3626","FALSE","0"
"867592","ANA38   ","Japan","1586514480","1586514480","138.0114","34.7607","8831.58","FALSE","266.3","92.88","0",NA,"8709.66","0442","FALSE","0"
"a69c03","FDX32   ","United States","1586514474","1586514474","-82.401","38.047","10073.64","FALSE","306.29","67.48","0",NA,NA,"2635","FALSE","0"
"a413f8","ABX922  ","United States","1586514480","1586514480","-87.858","36.5854","10972.8","FALSE","192.72","221.86","0",NA,"11003.28","4034","FALSE","0"
"4846cf","","Kingdom of the Netherlands","1586514459","1586514459","4.7949","52.306",NA,"TRUE","10.29","42.19",NA,NA,NA,NA,"FALSE","0"
"a368c2","FDX148  ","United States","1586514479","1586514479","-79.5842","43.6477","518.16","FALSE","65.49","316.27","-3.25",NA,"342.9","5670","FALSE","0"
"3c171b","IFA1176 ","Germany","1586514480","1586514480","26.3196","45.1618","12184.38","FALSE","225.35","293.4","0.65",NA,"12207.24","3207","FALSE","0"
"4846e0","V7      ","Kingdom of the Netherlands","1586514479","1586514479","4.7516","52.3155",NA,"TRUE","8.23","264.38",NA,NA,NA,NA,"FALSE","0"
"4846d3","OH17    ","Kingdom of the Netherlands","1586514478","1586514478","4.7533","52.3156",NA,"TRUE","5.92","264.38",NA,NA,NA,NA,"FALSE","0"
"a3ee0b","UPS117  ","United States","1586514480","1586514480","135.2644","34.5399","2849.88","FALSE","126.93","286.97","20.48",NA,"2880.36","1711","FALSE","0"
