"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"842194","ADO74   ","Japan","1586515960","1586515965","140.21","36.0436","3314.7","FALSE","173.97","189.02","-0.65",NA,"3284.22","0405","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586515980","1586515980","-95.0808","34.1409","8260.08","FALSE","181.79","256.08","-8.45",NA,"8465.82","6131","FALSE","0"
"3945e8","XK151RN ","France","1586515979","1586515979","8.0207","41.9735","4716.78","FALSE","145.7","129.99","-4.23",NA,"4869.18","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586515980","1586515980","-85.3559","38.2693","11590.02","FALSE","227.59","198.72","0.98",NA,"11490.96","6505","FALSE","0"
"ad4302","N9536M  ","United States","1586515980","1586515980","-78.7387","35.9488","777.24","FALSE","71.82","185.34","-2.6",NA,"678.18","6357","FALSE","0"
"adeca5","AAL668  ","United States","1586515980","1586515980","-81.5564","28.5352","5242.56","FALSE","169.37","252.5","13",NA,"5417.82","1026","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586515979","1586515979","-14.182","31.3225","11277.6","FALSE","228.03","205.52","0",NA,"11765.28","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586515980","1586515980","8.0243","51.5021","1005.84","FALSE","52.09","34.95","0",NA,"1158.24","7742","FALSE","0"
"e49437","AD6006  ","Brazil","1586515779","1586515779","-42.8203","-18.3735","10058.4","FALSE","234.71","37.7","0",NA,NA,"2507","FALSE","0"
"861f3c","ANA271  ","Japan","1586515972","1586515980","139.0423","35.6751","10347.96","FALSE","203.75","259.97","19.51",NA,"10104.12","1730","FALSE","0"
"abad94","SWA1066 ","United States","1586515979","1586515979","-82.0882","28.0732","12192","FALSE","193.66","317.15","-0.33",NA,"12679.68","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586515979","1586515979","4.8349","52.9754","487.68","FALSE","73.22","287.16","-0.33",NA,"662.94","4343","FALSE","0"
"4bb5d6","MNB1301 ","Turkey","1586515980","1586515980","51.6142","25.2769",NA,"TRUE","6.94","337.5",NA,NA,NA,"5171","FALSE","0"
"3c65ae","DLH357  ","Germany","1586515978","1586515979","99.3482","14.4842","6934.2","FALSE","234.92","321.22","2.93",NA,"7330.44","0706","FALSE","0"
"86cfa0","ANA740  ","Japan","1586515955","1586515977","136.2569","34.4841","3695.7","FALSE","130.29","237.25","-4.88",NA,"3810","0430","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586515979","1586515979","5.3051","52.6759","335.28","FALSE","64.14","-186.99","1",NA,"483","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586515979","1586515980","11.4166","50.224","11887.2","FALSE","238.51","109.14","0",NA,"11971.02","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586515979","1586515980","16.9874","48.8096","11887.2","FALSE","242.58","113.63","0",NA,"11986.26","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586515980","1586515980","11.6964","48.0416","11582.4","FALSE","222.45","306.63","0",NA,"11757.66","2263","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586515979","1586515980","19.26","47.4362",NA,"TRUE","2.06","219.38",NA,NA,NA,"4216","FALSE","0"
"3d3806","DETLU   ","Germany","1586515980","1586515980","7.7612","50.2287","944.88","FALSE","54.5","289.29","-0.33",NA,"1082.04","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586515980","1586515980","-74.9095","39.9375","1341.12","FALSE","78.01","257.43","-0.33",NA,"1143","2101","FALSE","0"
"a52bfb","EJA432  ","United States","1586515977","1586515979","-94.0594","45.133","7719.06","FALSE","179.93","288.85","8.45",NA,"7604.76","3640","FALSE","0"
"ac491d","DAL867  ","United States","1586515979","1586515979","-83.687","34.2337","5433.06","FALSE","169.78","221.81","-17.23",NA,"5471.16","5220","FALSE","0"
"861f00","JAL2088 ","Japan","1586515812","1586515812","135.5142","34.7208","381","FALSE","68.03","315.31","-2.6",NA,"472.44","7332","FALSE","0"
"a234d7","N241MP  ","United States","1586515980","1586515980","-77.6571","39.2155","1927.86","FALSE","67.56","200.5","0.65",NA,"1729.74","2423","FALSE","0"
"a785fd","JIA5108 ","United States","1586515979","1586515980","-86.0136","32.5712","11582.4","FALSE","159.51","271.11","-0.33",NA,"11910.06","2655","FALSE","0"
"a85887","JBU493  ","United States","1586515980","1586515980","-76.1132","43.7732","10972.8","FALSE","217.01","286.24","0",NA,"10485.12","3526","FALSE","0"
"ae61fd","TORQE31 ","United States","1586515979","1586515980","52.3627","24.9956","7566.66","FALSE","140.52","84.75","4.23",NA,"7932.42","3231","FALSE","0"
"7c7cc5","HM4     ","Australia","1586515976","1586515977","143.3448","-38.1765","1859.28","FALSE","57.69","261.8","0",NA,"1859.28","0044","FALSE","0"
"4a09ac","BLA9103 ","Romania","1586515914","1586515927","-3.3015","40.2545","1562.1","FALSE","124.33","274.27","-3.25",NA,"1645.92","3242","FALSE","0"
"48469c","KV4     ","Kingdom of the Netherlands","1586515979","1586515979","4.7114","52.3281",NA,"TRUE","11.32","219.38",NA,NA,NA,NA,"FALSE","0"
"861e9a","JAL331  ","Japan","1586515979","1586515979","134.1911","34.7829","12184.38","FALSE","203.3","258.32","0.33",NA,"12176.76","0436","FALSE","0"
"45c089","OYPDI   ","Denmark","1586515944","1586515944","9.1907","55.7415","22.86","FALSE","40.34","264.14","-3.25",NA,"175.26","5664","FALSE","0"
"3d1276","DEFFY   ","Germany","1586515980","1586515980","9.2153","48.233","1836.42","FALSE","70.7","128.2","0.33",NA,"1973.58","7000","FALSE","0"
"8a0487","LNI982  ","Indonesia","1586515980","1586515980","103.5865","-1.8507","10972.8","FALSE","250.31","314","0.33",NA,"11727.18","6312","FALSE","0"
"344496","IBS3943 ","Spain","1586515964","1586515978","-13.6701","30.461","11590.02","FALSE","255.48","52.69","0",NA,"12092.94","4445","FALSE","0"
"3c5efa","EWG6700 ","Germany","1586515979","1586515979","22.8091","43.8626","11887.2","FALSE","242.56","121.73","0",NA,"11971.02","7103","FALSE","0"
"86cec5","SNJ27   ","Japan","1586515862","1586515863","132.0561","32.2032","9898.38","FALSE","177.85","244.1","-18.86",NA,"10096.5","0431","FALSE","0"
"3d2550","DEMJO   ","Germany","1586515980","1586515980","7.9952","49.9464","723.9","FALSE","58.53","77.31","-3.25",NA,"876.3","7000","FALSE","0"
"abad6c","SWA2718 ","United States","1586515974","1586515974","-87.9423","33.2187","12192","FALSE","168.5","261.57","0",NA,"12458.7","2512","FALSE","0"
