"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"3c4048","FMG     ","Germany","1586516563","1586516563","13.519","52.3865",NA,"TRUE","1.54","340.31",NA,NA,NA,NA,"FALSE","0"
"842194","ADO74   ","Japan","1586516674","1586516698","139.9163","35.3832","1005.84","FALSE","90.8","330.09","-6.18",NA,"1043.94","0405","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586516477","1586516638","-95.9412","33.9123","2621.28","FALSE","140.14","253.36","-13.33",NA,"2590.8","6131","FALSE","0"
"3945e8","XK151RN ","France","1586516662","1586516662","8.9133","41.4905","777.24","FALSE","111.16","106.67","-3.25",NA,"899.16","4761","FALSE","0"
"a4b228","UPS992  ","United States","1586516698","1586516698","-114.7787","47.2703","9753.6","FALSE","222.23","287.93","0",NA,NA,NA,"FALSE","0"
"a46e40","DAL2455 ","United States","1586516649","1586516665","-85.8964","36.9846","11894.82","FALSE","227.43","198.19","0",NA,"11902.44","3117","FALSE","0"
"adeca5","AAL668  ","United States","1586516700","1586516700","-82.9026","28.7466","10919.46","FALSE","194.42","289.15","5.53",NA,"11353.8","0306","FALSE","0"
"ac96fb","DAL1183 ","United States","1586516694","1586516694","-76.238","36.9593","2491.74","FALSE","116.97","260.12","24.71",NA,"1203.96","6045","FALSE","0"
"e49450","TAM4566 ","Brazil","1586516700","1586516700","-46.4033","-23.4115","1447.8","FALSE","118.12","72.51","14.31",NA,"1501.14",NA,"FALSE","0"
"ad9cc0","N9763R  ","United States","1586516678","1586516694","-97.8063","33.1383","541.02","FALSE","82.49","252.58","-4.55",NA,"609.6","1200","FALSE","0"
"ac83d5","EDV4900 ","United States","1586516699","1586516699","-74.3512","40.8487","5882.64","FALSE","178.48","240.85","12.35",NA,"5478.78","4425","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586516698","1586516698","-14.7335","29.9322","11582.4","FALSE","228.83","196.72","0",NA,"12092.94","3331","FALSE","0"
