"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"71c225","JNA332  ","Republic of Korea","1586510798","1586510799",127.1595,37.2246,"2484.12","FALSE","135.82","15.83","-5.53",NA,"2560.32","5063","FALSE","0"
"71c226","KAL543  ","Republic of Korea","1586510799","1586510799",22.0741,49.5955,"10363.2","FALSE","257.55","202.06","0",NA,"10393.68","6250","FALSE","0"
"341201","HAL02   ","Spain","1586510797","1586510798",2.7407,39.5511,NA,"TRUE","1.29","140.62",NA,NA,NA,NA,"FALSE","0"
"e47f70","GLO2080 ","Brazil","1586510798","1586510799",-44.157,-22.9125,"4290.06","FALSE","180.92","75.85","-7.48",NA,"4488.18","6004","FALSE","0"
"780518","CBJ5305 ","China","1586510503","1586510503",107.1054,29.5197,"10690.86","FALSE","247.03","23.31","-0.33",NA,"11064.24","4273","FALSE","0"
"71c252","KAL251  ","Republic of Korea","1586510798","1586510799",-76.3905,35.702,"10668","FALSE","253.03","17.15","0",NA,"10690.86","7413","FALSE","0"
"78050e","CSZ8956 ","China","1586510795","1586510795",113.2392,23.1516,"3589.02","FALSE","174.58","199.45","0",NA,"3756.66","1034","FALSE","0"
"ad1160","FDX1442 ","United States","1586510799","1586510799",-78.4983,42.0149,"10873.74","FALSE","266.41","57.14","-6.18",NA,"10469.88","1673","FALSE","0"
"ac9a83","N911BH  ","United States","1586510799","1586510799",-85.3114,41.1579,"708.66","FALSE","49.7","306.16","-0.33",NA,"655.32","7333","FALSE","0"
"78051d","CSN8844 ","China","1586510799","1586510799",112.9237,22.4495,"2712.72","FALSE","152.1","146.31","-5.53",NA,"2849.88",NA,"FALSE","0"
"a87fe4","GTI510  ","United States","1586510724","1586510724",-84.6502,39.0446,NA,"TRUE","3.6","306.56",NA,NA,NA,NA,"FALSE","0"
"89938b","CI13T   ","Taiwan","1586510795","1586510795",121.2386,25.0753,NA,"TRUE","4.37","227.81",NA,NA,NA,NA,"FALSE","0"
"acf14f","FDX1469 ","United States","1586510799","1586510799",-85.6421,40.7874,"11277.6","FALSE","245.93","32.09","-0.33",NA,"11026.14","7347","FALSE","0"
"84b83e","ANA657  ","Japan","1586510798","1586510798",139.8503,35.4733,"2072.64","FALSE","135.15","257.02","18.21",NA,"2095.5","7337","FALSE","0"
"adc1ef","FDX1578 ","United States","1586510799","1586510799",-84.7136,39.1434,"11277.6","FALSE","268.13","48.11","0",NA,"11102.34","1523","FALSE","0"
"899384","CI06T   ","Taiwan","1586510795","1586510795",121.2439,25.0833,NA,"TRUE","6.17","50.62",NA,NA,NA,NA,"FALSE","0"
"a32eb0","FDX1579 ","United States","1586510799","1586510799",-83.3809,42.3376,"1150.62","FALSE","92.04","44.32","-3.58",NA,"1028.7","5663","FALSE","0"
"45c822","MMD6786 ","Denmark","1586510799","1586510799",75.9186,30.9709,"12192","FALSE","229","291.2","0.33",NA,"12435.84","6100","FALSE","0"
"4408fb","AUA6006 ","Austria","1586510799","1586510799",88.5452,53.3639,"11582.4","FALSE","242.35","294.99","0",NA,"11452.86",NA,"FALSE","0"
"a06bcc","UPS734  ","United States","1586510799","1586510799",-87.5428,37.851,"10972.8","FALSE","183.91","256.08","-0.98",NA,"10934.7","6705","FALSE","0"
"4bca64","TCRSD   ","Turkey","1586510799","1586510799",6.2685,51.9883,"12192","FALSE","207.47","303.06","0",NA,"12336.78","0616","FALSE","0"
"3e0a38","BPO240  ","Germany","1586510799","1586510799",12.2974,47.7876,"1021.08","FALSE","64.23","305.22","-4.55",NA,"1158.24","0023","FALSE","0"
"407535","BAW346  ","United Kingdom","1586510799","1586510799",2.6259,47.6971,"11887.2","FALSE","206.39","152.54","0",NA,"12062.46","6322","FALSE","0"
"49d0a2","NTF135  ","Czech Republic","1586510799","1586510799",16.3589,49.2467,"3200.4","FALSE","88.71","307.93","7.48",NA,"3345.18","3366","FALSE","0"
"4aaa70","5840    ","Sweden","1586510798","1586510798",18.4427,59.4157,"190.5","FALSE","55.45","242.96","-0.33",NA,"281.94","0057","FALSE","0"
"406e9f","AWC41H  ","United Kingdom","1586510799","1586510799",73.3274,18.009,"8923.02","FALSE","243.31","354.78","2.93",NA,"9334.5","0322","FALSE","0"
"a7906b","FDX9818 ","United States","1586510799","1586510799",-150.1189,61.3864,"2735.58","FALSE","151.62","76.86","13.66",NA,"2743.2","4132","FALSE","0"
"4ca1dc","AZA60U  ","Ireland","1586510798","1586510799",6.8915,44.504,"10972.8","FALSE","245.27","325.94","0",NA,"11132.82","6776","FALSE","0"
"a49227","1432    ","United States","1586510782","1586510782",-95.1007,31.8146,"10363.2","FALSE","201.84","234.65","0.33",NA,"10706.1","5654","FALSE","0"
"400bd6","","United Kingdom",NA,"1586510798",NA,NA,"2743.2","FALSE","81.42","78.34","0",NA,NA,"1154","FALSE","0"
"47a619","NAX526  ","Norway","1586510796","1586510799",6.2452,58.8706,"2613.66","FALSE","127.13","236.05","-5.53",NA,"2705.1","0235","FALSE","0"
"7804b2","CES231  ","China","1586510796","1586510796",105.8119,17.202,"10965.18","FALSE","223.36","237.7","6.83",NA,"11117.58","1072","FALSE","0"
"7804c6","CSN474  ","China","1586510750","1586510750",132.366,49.0059,"11003.28","FALSE","267.2","212.1","0",NA,NA,"7320","FALSE","0"
"7804c7","CSN456  ","China","1586510798","1586510799",34.0218,59.5861,"9448.8","FALSE","261.23","82.99","0",NA,"9006.84","0253","FALSE","0"
"503dc5","NVD9505 ","Lithuania","1586510798","1586510799",22.7969,52.7748,"10980.42","FALSE","204.88","14.25","-0.65",NA,"10896.6","3702","FALSE","0"
"aca263","CFS8298 ","United States","1586510799","1586510799",-98.5339,32.6246,"5478.78","FALSE","117.54","258.64","0",NA,"5638.8","6120","FALSE","0"
"7817fb","DKH1612 ","China","1586510799","1586510799",22.1094,49.6804,"11277.6","FALSE","230.41","23.42","-0.33",NA,"11292.84","5405","FALSE","0"
"4ba869","THY6401 ","Turkey","1586510781","1586510784",21.3398,46.6017,"11582.4","FALSE","213","312.55","0",NA,"11681.46","3212","FALSE","0"
"aa8740","FDX1441 ","United States","1586510793","1586510799",-90.8869,32.7794,"9144","FALSE","211","198.04","0",NA,"9410.7","1603","FALSE","0"
"7c42d1","NWK2609 ","Australia","1586510798","1586510799",116.0232,-31.9082,"259.08","FALSE","67.41","238.74","-3.58",NA,"259.08","3632","FALSE","0"
"78057f","CCA4501 ","China","1586510651","1586510767",107.7204,29.7377,"8869.68","FALSE","265","73.54","0",NA,"9182.1","7406","FALSE","0"
"7c42d8","NWK1671 ","Australia","1586510742","1586510742",115.9647,-31.9415,NA,"TRUE","27.27","194.06",NA,NA,NA,"4027","FALSE","0"
"49d232","TVS4339 ","Czech Republic","1586510799","1586510799",20.7538,47.7292,"11582.4","FALSE","207.26","300.26","0.33",NA,"11658.6","2365","FALSE","0"
"aaced0","FDX1454 ","United States","1586510799","1586510799",-78.2925,39.3139,"10675.62","FALSE","290.72","68.84","0",NA,"10416.54","1552","FALSE","0"
"a3cdfa","UPS904  ","United States","1586510798","1586510799",-96.6108,38.4976,"10972.8","FALSE","206.9","268.29","0",NA,"11064.24","7742","FALSE","0"
"78058f","CSN3267 ","China","1586510575","1586510579",114.634,24.0224,"8869.68","FALSE","249.71","37.13","3.9",NA,"9311.64","4533","FALSE","0"
"8405b5","JA01JP  ","Japan","1586510610","1586510626",134.3725,33.2721,"12192","FALSE","153.21","246.45","0",NA,"12298.68","4666","FALSE","0"
"ae68b5","MAGMA12 ","United States","1586510799","1586510799",51.8388,25.7764,"6713.22","FALSE","132.76","25.97","4.55",NA,"7018.02","3222","FALSE","0"
"4ba88f","THY6333 ","Turkey","1586510798","1586510798",3.5595,37.4701,"7764.78","FALSE","227.67","29.81","11.05",NA,"8001","4405","FALSE","0"
"a55d6a","N445CH  ","United States","1586510799","1586510799",-84.4307,33.8616,"891.54","FALSE","78.48","122.96","-4.88",NA,"838.2","0147","FALSE","0"
"49d23d","OKMDH   ","Czech Republic","1586510799","1586510799",14.2891,49.7181,"777.24","FALSE","61.99","107.38","1.63",NA,"906.78","7000","FALSE","0"
"ad7e16","FDX1166 ","United States","1586510799","1586510799",-105.7046,37.2957,"12192","FALSE","227.36","301.21","0",NA,"12352.02","2241","FALSE","0"
"39ac15","FHLAV   ","France","1586510799","1586510799",3.4125,50.7288,"548.64","FALSE","31.42","230.31","-6.83",NA,"701.04","2000","FALSE","0"
"84b81c","ANA319  ","Japan","1586510798","1586510799",139.6862,35.7779,"6057.9","FALSE","182.9","296.57","11.05",NA,"6004.56","7345","FALSE","0"
"a0e9b7","UPS1338 ","United States","1586510758","1586510786",-83.3328,30.9613,"10675.62","FALSE","240.19","166.5","0.65",NA,"11041.38","6766","FALSE","0"
"a109c8","UPS784  ","United States","1586510799","1586510799",-91.2601,34.6492,"9144","FALSE","207.06","231.96","-1.3",NA,"9342.12","1443","FALSE","0"
"a01f37","FDX5604 ","United States","1586510712","1586510752",123.1355,25.882,"9456.42","FALSE","272.46","44.92","0",NA,"9928.86","6240","FALSE","0"
"899337","CV04    ","Taiwan","1586510788","1586510797",121.2254,25.0662,NA,"TRUE","0","230.62",NA,NA,NA,NA,"FALSE","0"
"4ca27d","RYR2TM  ","Ireland","1586510799","1586510799",11.4957,52.3286,"11955.78","FALSE","201.41","267.07","6.83",NA,"12031.98","1352","FALSE","0"
"49d275","OKMNM   ","Czech Republic","1586510799","1586510799",16.9389,49.0657,"1127.76","FALSE","61.5","70.96","0.98",NA,"1249.68","3355","FALSE","0"
"a2f13a","UPS754  ","United States","1586510797","1586510798",-94.7358,37.0464,"11567.16","FALSE","225.16","208.67","0",NA,"11689.08","1340","FALSE","0"
"7cf54f","VA VAN  ","Australia","1586510781","1586510781",153.1347,-27.3892,NA,"TRUE","8.75","340.31",NA,NA,NA,NA,"FALSE","0"
"7817a2","CES738  ","China","1586510692","1586510694",116.5347,20.7209,"11879.58","FALSE","237.4","350.39","-0.33",NA,"12588.24","1335","FALSE","0"
"49d05a","OKNET   ","Czech Republic","1586510522","1586510526",16.0757,48.8097,"457.2","FALSE","67.02","167.14","-0.33",NA,NA,"7000","FALSE","0"
"a0fd55","FDX1712 ","United States","1586510799","1586510799",-74.6944,40.9763,"6507.48","FALSE","238.34","97.82","-1.95",NA,"6042.66","6657","FALSE","0"
"06a001","A7HHK   ","Qatar","1586510495","1586510513",51.569,25.2522,NA,"TRUE","13.89","157.5",NA,NA,NA,"2667","FALSE","0"
"780630","CKK221  ","China","1586510798","1586510799",132.7008,33.2464,"9448.8","FALSE","299.96","81.72","0",NA,"9525","7002","FALSE","0"
"86d334","ANA786  ","Japan","1586510798","1586510798",135.2199,34.212,"3550.92","FALSE","171.79","56.36","-2.6",NA,"3604.26","4745","FALSE","0"
"463eb1","OHXTH   ","Finland","1586510799","1586510799",24.9216,60.1349,"335.28","FALSE","65.27","249.71","-2.6",NA,"388.62","7000","FALSE","0"
"a90b7e","WAE41   ","United States","1586510793","1586510793",-115.8983,43.5052,"2682.24","FALSE","76.94","58.12","3.58",NA,"2682.24","6027","FALSE","0"
"71c361","AAR761  ","Republic of Korea","1586510799","1586510799",120.4437,17.4578,"11582.4","FALSE","251.62","186.46","0",NA,"12344.4","7102","FALSE","0"
"aaaebf","FDX1474 ","United States","1586510799","1586510799",-87.3791,37.4732,"11864.34","FALSE","255.74","44.43","0",NA,"11879.58","1622","FALSE","0"
"71bc36","AAR795  ","Republic of Korea","1586510799","1586510799",38.1974,55.3137,"2286","FALSE","120.58","145.43","-7.15",NA,"2179.32","3373","FALSE","0"
"780677","CSC8036 ","China","1586510772","1586510772",106.4481,28.0748,"7802.88","FALSE","209.17","249.56","0",NA,"8107.68","2242","FALSE","0"
"780670","CSN3744 ","China","1586510799","1586510799",114.4712,23.193,"4518.66","FALSE","207.09","39.86","-0.33",NA,"4770.12","2432","FALSE","0"
"a8058a","FDX1402 ","United States","1586510799","1586510799",-75.6408,39.6532,"6256.02","FALSE","241","47.25","-10.08",NA,"5882.64","1575","FALSE","0"
"a7cb67","JIA5208 ","United States","1586510647","1586510745",-84.4448,37.6105,"8526.78","FALSE","212.85","176.54","0",NA,"8382","4260","FALSE","0"
"a7e579","FDX36   ","United States","1586510799","1586510799",-79.8449,40.8429,"10660.38","FALSE","288.11","86.52","0",NA,"10287","6617","FALSE","0"
"71c321","","Republic of Korea","1586510518","1586510539",140.5452,35.5716,"1501.14","FALSE","82.32","329.59","-1.63",NA,NA,"4123","FALSE","0"
"3985aa","AFR6112 ","France","1586510798","1586510798",1.1958,43.7903,"1310.64","FALSE","118.8","163.13","-6.18",NA,"1402.08","1000","FALSE","0"
"a35d9d","FDX1412 ","United States","1586510799","1586510799",-80.1752,40.0087,"10660.38","FALSE","297.1","59.97","0",NA,"10332.72","1175","FALSE","0"
"a96109","JIA5388 ","United States","1586510798","1586510798",-78.5521,34.7593,"6096","FALSE","170.46","267.41","0",NA,"6057.9","2405","FALSE","0"
"85151a","JAL148  ","Japan","1586510584","1586510794",140.2227,36.0389,"2971.8","FALSE","146.19","187.07","-6.18",NA,"3048","4737","FALSE","0"
"c03121","CFSPS   ","Canada","1586510799","1586510799",-107.0268,51.9775,"1203.96","FALSE","58.47","68.85","3.9",NA,"1135.38","0602","TRUE","0"
"ac30e9","FDX1800 ","United States","1586510797","1586510797",-122.2167,37.7189,NA,"TRUE","0","340.31",NA,NA,NA,"1200","FALSE","0"
"3d0f2c","DEDZO   ","Germany","1586510799","1586510799",6.7803,49.8588,"121.92","FALSE","35.44","39.7","-0.33",NA,"236.22","7000","FALSE","0"
"440686","OEALU   ","Austria","1586510799","1586510799",15.2116,47.0144,"1135.38","FALSE","44.72","113.03","-0.33",NA,NA,"7000","FALSE","0"
"acdc63","FDX1737 ","United States","1586510799","1586510799",-81.3636,40.0437,"10668","FALSE","283.9","84.18","0",NA,"10340.34","6651","FALSE","0"
"aaa39a","FDX1465 ","United States","1586510790","1586510798",-82.1769,26.7074,"2331.72","FALSE","159.24","141.43","-6.5",NA,"2438.4","0371","FALSE","0"
"a3ad89","TPA4144 ","United States","1586510643","1586510679",-73.7437,40.6153,"243.84","FALSE","70.58","300.68","-3.25",NA,"236.22","2377","FALSE","0"
"a05f59","FDX1748 ","United States","1586510799","1586510799",-96.2935,38.1506,"10980.42","FALSE","209.76","256.82","0",NA,"11094.72","4017","FALSE","0"
